Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_TP_ctg_Prob_N8,User_2_TP_ctg_Prob_N8,User_4_TP_ctg_Prob_N8,User_5_TP_ctg_Prob_N8,User_6_TP_ctg_Prob_N8,User_7_TP_ctg_Prob_N8,User_9_TP_ctg_Prob_N8,User_10_TP_ctg_Prob_N8,User_12_TP_ctg_Prob_N8,User_13_TP_ctg_Prob_N8,User_14_TP_ctg_Prob_N8,User_16_TP_ctg_Prob_N8,User_17_TP_ctg_Prob_N8,User_18_TP_ctg_Prob_N8,User_19_TP_ctg_Prob_N8,User_20_TP_ctg_Prob_N8,User_21_TP_ctg_Prob_N8,User_22_TP_ctg_Prob_N8,User_23_TP_ctg_Prob_N8,User_24_TP_ctg_Prob_N8,User_25_TP_ctg_Prob_N8,User_26_TP_ctg_Prob_N8
22.0,0,0.07,50,22.0,20.4107032,0.35800514,0.3810958,0.2980478,0.6340337,0.3971289,0.30574158,0.5369592,0.41936484,0.3529806,0.3633411,0.37329438,0.35284063,0.515131,0.31719974,0.35249272,0.284706,0.42452863,0.38441142,0.29865333,0.44318435,0.36595726,0.38483998
22.0,1,0.29,50,22.0,19.689093,0.30899054,0.24018796,0.2980356,0.7886848,0.3092599,0.2991334,0.42381302,0.2892047,0.3151625,0.32450247,0.30951467,0.31133127,0.4997839,0.16158879,0.26546356,0.2631726,0.33283368,0.1679153,0.2697098,0.31572017,0.29458195,0.26850888
22.0,2,0.58,50,22.0,18.11130066,0.69284946,0.39491582,0.092301816,0.97249013,0.73742294,0.75372386,0.8288626,0.73452073,0.66181415,0.75254774,0.78737396,0.6667469,0.98956823,0.22555874,0.43931875,0.65490264,0.72937804,0.24399531,0.43580756,0.35728517,0.6837228,0.7238532
22.0,3,0.94,50,22.0,17.01714963,0.6593155,0.54603404,0.13644661,0.9616113,0.7025539,0.8245923,0.79536873,0.71203536,0.62072647,0.70636386,0.85484105,0.6291495,0.99668694,0.2549579,0.4886056,0.7140425,0.55842113,0.17722847,0.5913246,0.29839537,0.66663074,0.76331973
22.0,4,1.37,50,22.0,16.18569635,0.58698714,0.8048835,0.022016786,0.99514014,0.6646929,0.9372342,0.74535054,0.6451596,0.5518109,0.7057471,0.868493,0.5414191,0.9988683,0.2491563,0.729549,0.90712565,0.5905948,0.5096213,0.68944377,0.3485519,0.45674214,0.80076534
22.0,5,1.87,50,22.0,15.52256301,0.20399308,0.43909886,2.2435188e-05,0.97578377,0.34850574,0.74498206,0.85065204,0.34792402,0.2032104,0.3845016,0.48759413,0.17900066,0.89711475,0.21924287,0.2296292,0.6188965,0.39726922,0.3326317,0.26711914,0.15098137,0.46879926,0.49579144
22.5,0,0.07,50,22.5,20.934819,0.3660039,0.437935,0.24763274,0.65851384,0.41263625,0.38257852,0.54386187,0.44602633,0.35886636,0.36815342,0.43757728,0.35985866,0.54800636,0.34096923,0.37648347,0.30532354,0.4318771,0.48099852,0.3268387,0.51623756,0.42917493,0.43742263
22.5,1,0.29,50,22.5,20.22671468,0.482244,0.296941,0.3356699,0.7024532,0.4967234,0.3192934,0.6111691,0.3633809,0.474924,0.49807104,0.37814775,0.4846526,0.5281947,0.24922585,0.3642759,0.3230857,0.48336422,0.25500557,0.3164873,0.3455871,0.33728036,0.33399343
22.5,2,0.58,50,22.5,18.68567427,0.45185223,0.5892879,0.023123695,0.9607304,0.5834623,0.8822407,0.6212727,0.65768623,0.37646845,0.52634245,0.8457326,0.38485894,0.99479365,0.2722521,0.59887666,0.7016681,0.4953061,0.34442118,0.6093023,0.43876374,0.66286993,0.7573171
22.5,3,0.94,50,22.5,17.62296289,0.55974823,0.6198942,0.025839195,0.94429445,0.6548895,0.85048026,0.70528096,0.6810932,0.42483425,0.5554022,0.8452886,0.5075638,0.9971368,0.29246834,0.560474,0.77217007,0.41969624,0.24563189,0.65403485,0.23640071,0.62077695,0.7545431
22.5,4,1.37,50,22.5,16.81878355,0.5294215,0.80604726,0.01535057,0.9836044,0.64266634,0.933626,0.7817264,0.62032074,0.52313656,0.6964013,0.83805555,0.5005034,0.99873334,0.2686901,0.7310579,0.9316203,0.62782794,0.51352364,0.47867933,0.2631142,0.43811586,0.7885961
22.5,5,1.87,50,22.5,16.1795392,0.21234037,0.36345005,6.229707e-07,0.9264579,0.39417586,0.800895,0.9462746,0.37931195,0.20563413,0.3967723,0.4776568,0.18518536,0.76940227,0.2472933,0.1658701,0.7112243,0.4232324,0.45112488,0.5002351,0.16193056,0.38734528,0.48273805
23.0,0,0.07,50,23.0,21.45670594,0.3666995,0.4645742,0.18565197,0.6667488,0.4074832,0.42615947,0.5534761,0.4364082,0.36473846,0.37736914,0.46798888,0.36444,0.55650634,0.36433598,0.37449872,0.31543764,0.42180696,0.54322475,0.39387324,0.50225955,0.4553326,0.46570006
23.0,1,0.29,50,23.0,20.76121947,0.45800838,0.39657512,0.26998007,0.7654009,0.5855337,0.4301239,0.6097307,0.62000376,0.41150856,0.42828718,0.605836,0.44670007,0.8226552,0.38092187,0.4171804,0.46270344,0.45370665,0.3511665,0.35070857,0.3782169,0.55945253,0.57659745
