Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Predicted_TP_ctg_N20,User_2_Predicted_TP_ctg_N20,User_4_Predicted_TP_ctg_N20,User_5_Predicted_TP_ctg_N20,User_6_Predicted_TP_ctg_N20,User_7_Predicted_TP_ctg_N20,User_9_Predicted_TP_ctg_N20,User_10_Predicted_TP_ctg_N20,User_12_Predicted_TP_ctg_N20,User_13_Predicted_TP_ctg_N20,User_14_Predicted_TP_ctg_N20,User_16_Predicted_TP_ctg_N20,User_17_Predicted_TP_ctg_N20,User_18_Predicted_TP_ctg_N20,User_19_Predicted_TP_ctg_N20,User_20_Predicted_TP_ctg_N20,User_21_Predicted_TP_ctg_N20,User_22_Predicted_TP_ctg_N20,User_23_Predicted_TP_ctg_N20,User_24_Predicted_TP_ctg_N20,User_25_Predicted_TP_ctg_N20,User_26_Predicted_TP_ctg_N20
23.0,0,0.07,50,23.0,21.45670594,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
23.0,1,0.29,50,23.0,20.76121947,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
23.0,2,0.58,50,23.0,19.2549547,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0
23.0,3,0.94,50,23.0,18.22183405,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
23.0,4,1.37,50,23.0,17.44352089,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0
23.0,5,1.87,50,23.0,16.82709176,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0.07,50,23.5,21.97591213,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
23.5,1,0.29,50,23.5,21.29224299,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
23.5,2,0.58,50,23.5,19.81868426,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
23.5,3,0.94,50,23.5,18.81368418,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
