Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_TP_ctg_Prob_N12,User_2_TP_ctg_Prob_N12,User_4_TP_ctg_Prob_N12,User_5_TP_ctg_Prob_N12,User_6_TP_ctg_Prob_N12,User_7_TP_ctg_Prob_N12,User_9_TP_ctg_Prob_N12,User_10_TP_ctg_Prob_N12,User_12_TP_ctg_Prob_N12,User_13_TP_ctg_Prob_N12,User_14_TP_ctg_Prob_N12,User_16_TP_ctg_Prob_N12,User_17_TP_ctg_Prob_N12,User_18_TP_ctg_Prob_N12,User_19_TP_ctg_Prob_N12,User_20_TP_ctg_Prob_N12,User_21_TP_ctg_Prob_N12,User_22_TP_ctg_Prob_N12,User_23_TP_ctg_Prob_N12,User_24_TP_ctg_Prob_N12,User_25_TP_ctg_Prob_N12,User_26_TP_ctg_Prob_N12
22.0,0,0.07,50,22.0,20.4107032,0.3580397,0.3927795,0.29695952,0.6030814,0.41373292,0.31062904,0.4437844,0.39613977,0.35307226,0.37387323,0.49169862,0.35288227,0.57879037,0.31422803,0.30134097,0.2836647,0.4241602,0.19078313,0.31324378,0.45019856,0.38482615,0.34866515
22.0,1,0.29,50,22.0,19.689093,0.30757442,0.24622703,0.2979761,0.7040541,0.32617387,0.3117883,0.2936692,0.26516438,0.31524038,0.3216273,0.41041017,0.31039044,0.57879186,0.15923373,0.22835052,0.2625436,0.33144864,0.01721955,0.30023617,0.33989966,0.32274908,0.1380407
22.0,2,0.58,50,22.0,18.11130066,0.68487495,0.4058675,0.091735125,0.8706872,0.7728799,0.78568316,0.2282017,0.70180184,0.6531957,0.75213534,0.9177985,0.6554708,0.98587996,0.22226994,0.40543628,0.6546106,0.72179574,0.00013940374,0.5165348,0.35824236,0.6959354,0.1716655
22.0,3,0.94,50,22.0,17.01714963,0.6513825,0.55947727,0.13630222,0.65067154,0.7397701,0.85398513,0.16309403,0.6641975,0.6131343,0.7074649,0.9583375,0.6185393,0.9935309,0.25356027,0.4592837,0.7138069,0.54935056,1.1122141e-05,0.69761246,0.43596435,0.6641984,0.14286631
22.0,4,1.37,50,22.0,16.18569635,0.57036376,0.80747026,0.021790663,0.79068893,0.7471141,0.9579732,0.13662724,0.6646483,0.5384702,0.6975817,0.9796105,0.5179792,0.99307793,0.24693815,0.69984466,0.9064429,0.57253146,1.2597527e-05,0.80746883,0.53528434,0.43499956,0.328014
22.0,5,1.87,50,22.0,15.52256301,0.18666351,0.4521933,2.2013031e-05,0.49655285,0.4896394,0.77500343,0.038388323,0.5338505,0.18853003,0.35313508,0.7603061,0.15807901,0.7349964,0.21691369,0.080389515,0.61685044,0.37720898,2.3177703e-05,0.3421278,0.28680107,0.46815148,0.24072368
22.5,0,0.07,50,22.5,20.934819,0.3657408,0.44900647,0.24574633,0.62432235,0.42876378,0.39251313,0.46016017,0.4185227,0.35854053,0.37350175,0.5714559,0.35956702,0.6061043,0.33913815,0.33496234,0.30412003,0.4310566,0.3852315,0.3431475,0.52039826,0.45383117,0.41368255
22.5,1,0.29,50,22.5,20.22671468,0.48155785,0.30235705,0.3355651,0.6173196,0.51582485,0.3297942,0.277426,0.35977104,0.47467002,0.51300305,0.4833404,0.48303333,0.61793894,0.24686588,0.3535169,0.32222793,0.48364916,0.07072228,0.33427265,0.35199705,0.3507379,0.26510772
22.5,2,0.58,50,22.5,18.68567427,0.43512282,0.6005349,0.022942727,0.81808656,0.63542217,0.9071166,0.4127762,0.63695645,0.36355066,0.5047345,0.95034933,0.36421826,0.9943023,0.26976642,0.58313185,0.70143193,0.4783882,0.00011392919,0.6933081,0.4683868,0.65762943,0.22002296
22.5,3,0.94,50,22.5,17.62296289,0.5465082,0.63137627,0.025636189,0.5750004,0.70286936,0.8824157,0.2285976,0.64546967,0.4133009,0.5376431,0.95643806,0.49002123,0.9954064,0.28989863,0.535114,0.7717695,0.40717664,1.7863724e-05,0.7535109,0.37304077,0.61107945,0.19101608
22.5,4,1.37,50,22.5,16.81878355,0.5103414,0.80860513,0.01518036,0.6209431,0.7493315,0.9561979,0.118131615,0.63788325,0.50756353,0.68946123,0.97103304,0.47562847,0.9941924,0.26576102,0.6929082,0.9306371,0.611643,1.7541484e-05,0.6197163,0.42534438,0.41707888,0.31887278
22.5,5,1.87,50,22.5,16.1795392,0.1942339,0.36116198,6.1336436e-07,0.3294982,0.5599739,0.87444067,0.03141742,0.5835847,0.18831496,0.36548838,0.7458963,0.16130924,0.40409422,0.24517952,0.038143978,0.70610666,0.40301976,0.00013798945,0.5838065,0.30861834,0.38751626,0.3268448
23.0,0,0.07,50,23.0,21.45670594,0.3661319,0.47397146,0.18560024,0.63842577,0.4227052,0.43873596,0.45664588,0.41220212,0.36312008,0.37692523,0.60677093,0.36308834,0.5930901,0.36305928,0.36057898,0.31427887,0.42067373,0.5448769,0.40831494,0.49536014,0.4784181,0.46081805
23.0,1,0.29,50,23.0,20.76121947,0.45882234,0.40350494,0.26982832,0.7041319,0.6197226,0.445313,0.17339134,0.6067273,0.41216746,0.44604638,0.7961731,0.44731584,0.8784991,0.3780469,0.40231428,0.4603317,0.45479146,0.107697,0.3704046,0.39463508,0.5788689,0.35055208
23.0,2,0.58,50,23.0,19.2549547,0.44455925,0.71595407,0.068217464,0.7144334,0.55701894,0.9416945,0.3968681,0.56030256,0.44594106,0.5459292,0.95949364,0.39251792,0.9969857,0.32279184,0.58354914,0.583466,0.558307,0.00010759817,0.8171633,0.44042698,0.5517846,0.35020268
23.0,3,0.94,50,23.0,18.22183405,0.27476612,0.6863859,0.009879984,0.5359407,0.54362804,0.9173711,0.28613222,0.5824892,0.2389118,0.36179844,0.96196705,0.23173343,0.9966235,0.30761585,0.619049,0.71388096,0.33652064,2.3531107e-05,0.78847885,0.33459648,0.5742806,0.23735319
