"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,28.5,2,2,3,NA,1,3,1,1,1,1,NA,0,5,4,0,3
11,29,3,NA,4,1,1,3,1,1,1,1,NA,0,5,NA,0,3
12,24,1,NA,NA,NA,1,NA,0,NA,0,1,NA,0,4,0,1,1
13,25,NA,1,NA,NA,NA,2,NA,0,1,NA,NA,0,NA,1,2,2
14,28.5,2,2,NA,1,NA,3,NA,1,1,1,3,NA,5,4,NA,3
15,29,3,NA,4,1,1,3,NA,NA,1,1,3,NA,NA,4,NA,NA
16,29,3,2,4,1,1,3,1,1,1,1,3,0,5,NA,0,3
17,29,3,2,4,1,1,3,NA,1,1,NA,NA,NA,5,4,0,NA
18,25,NA,1,NA,NA,NA,2,NA,NA,NA,0,NA,NA,4,NA,2,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
