Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N4,User_3_Acceptance_N4,User_5_Acceptance_N4,User_6_Acceptance_N4,User_7_Acceptance_N4,User_9_Acceptance_N4,User_12_Acceptance_N4,User_13_Acceptance_N4,User_14_Acceptance_N4,User_16_Acceptance_N4,User_17_Acceptance_N4,User_18_Acceptance_N4,User_19_Acceptance_N4,User_20_Acceptance_N4,User_23_Acceptance_N4,User_24_Acceptance_N4,User_25_Acceptance_N4,User_26_Acceptance_N4
22.0,0,0.07,50,22.0,20.4107032,0.16628636,0.24828732,0.25386068,0.22681774,0.15321636,0.24998836,0.2039779,0.15103883,0.18460442,0.19099134,0.3104419,0.37032118,0.27603847,0.075492054,0.36068615,0.05534597,0.22475915,0.18453541
22.0,1,0.29,50,22.0,19.689093,0.29581243,0.09705862,0.09156308,0.07848449,0.37063515,0.073058136,0.13250506,0.15375596,0.13416052,0.1284505,0.05255456,0.9538382,0.078926355,0.6691823,0.99784285,0.3754792,0.27210137,0.23180197
22.0,2,0.58,50,22.0,18.11130066,0.15743583,0.10194714,0.13348575,0.56635875,0.18132718,0.40588427,0.10417185,0.091477014,0.09144296,0.09096648,0.41205603,0.9154122,0.18471533,0.05641258,0.9755291,0.12541309,0.21637729,0.16158417
22.0,3,0.94,50,22.0,17.01714963,0.86288387,0.19413404,0.2225948,0.0047286903,0.90948164,0.40380618,0.29805914,0.18415947,0.25363934,0.23351966,0.12748419,0.9990302,0.70369667,0.074511215,0.9980567,0.00014737851,0.6325051,0.68341523
22.0,4,1.37,50,22.0,16.18569635,0.7553589,0.19727768,0.2243586,0.0017077479,0.6906137,0.52057034,0.25239265,0.32126924,0.38851497,0.34857804,0.21831888,0.99979997,0.81932753,0.12158653,0.998619,3.5062552e-05,0.343788,0.45941582
22.0,5,1.87,50,22.0,15.52256301,0.5108013,0.1281091,0.16046897,0.0006882289,0.4516908,0.5108081,0.143359,0.11039209,0.14624517,0.14661233,0.12926671,0.99987435,0.8551491,0.24201746,0.9991966,2.1072834e-05,0.38425457,0.3324634
22.5,0,0.07,50,22.5,20.934819,0.35608524,0.22885834,0.19434406,0.25816596,0.32238823,0.28122443,0.37957248,0.20637387,0.30331406,0.28917956,0.31642705,0.5401107,0.62726235,0.088672444,0.50158966,0.05089342,0.47485453,0.4142577
22.5,1,0.29,50,22.5,20.22671468,0.90098697,0.15171063,0.12345554,0.044625144,0.9229836,0.118123494,0.64564204,0.28344893,0.40254554,0.34685728,0.04311687,0.700945,0.33152476,0.62266636,0.9904593,0.51724654,0.9733406,0.90307003
22.5,2,0.58,50,22.5,18.68567427,0.42688987,0.09871181,0.08430034,0.47435942,0.5633363,0.28734118,0.24419771,0.12038405,0.18687522,0.16574892,0.33136463,0.900823,0.29386702,0.049502216,0.96812266,0.08649311,0.5141439,0.40785024
22.5,3,0.94,50,22.5,17.62296289,0.9198347,0.18245064,0.14653605,0.002867243,0.94305015,0.35074362,0.5558269,0.39469668,0.6360727,0.48696718,0.13567209,0.9991712,0.7473593,0.24998295,0.9979926,8.58426e-05,0.85139495,0.88599044
22.5,4,1.37,50,22.5,16.81878355,0.82457757,0.19215177,0.15917163,0.0011336165,0.76742214,0.4989184,0.28925043,0.4106223,0.4474173,0.409601,0.19231889,0.9998014,0.83185697,0.06811332,0.9987065,2.38442e-05,0.38092163,0.4919873
