Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N2,User_3_Acceptance_N2,User_5_Acceptance_N2,User_6_Acceptance_N2,User_7_Acceptance_N2,User_9_Acceptance_N2,User_12_Acceptance_N2,User_13_Acceptance_N2,User_14_Acceptance_N2,User_16_Acceptance_N2,User_17_Acceptance_N2,User_18_Acceptance_N2,User_19_Acceptance_N2,User_20_Acceptance_N2,User_23_Acceptance_N2,User_24_Acceptance_N2,User_25_Acceptance_N2,User_26_Acceptance_N2
22.0,0,0.07,50,22.0,20.4107032,0.24116881,0.16798414,0.26559478,0.049163386,0.1284175,0.077145346,0.19872816,0.26574585,0.26213133,0.16863745,0.20575689,0.4659059,0.06825841,0.04836295,0.4722505,0.059470076,0.20131034,0.20171714
22.0,1,0.29,50,22.0,19.689093,0.09930898,0.17962669,0.09247037,0.5982898,0.44965917,0.680135,0.1412314,0.0891901,0.09075058,0.18416208,0.10794471,0.99924946,0.7148437,0.6179573,0.9935439,0.4408142,0.39665306,0.13104425
22.0,2,0.58,50,22.0,18.11130066,0.088864274,0.12863997,0.16260388,0.12726916,0.120596044,0.08732785,0.11237604,0.16771446,0.092810676,0.13204323,0.081987716,0.9693122,0.061896782,0.021113811,0.98335093,0.099328026,0.26109725,0.100223705
22.0,3,0.94,50,22.0,17.01714963,0.17544709,0.5310618,0.27813637,0.0020180147,0.918738,0.49733502,0.3532314,0.23964567,0.25091034,0.5820439,0.24257997,0.94142085,0.9038903,0.9952364,0.93624794,0.0019570969,0.8114686,0.29037502
22.0,4,1.37,50,22.0,16.18569635,0.18353742,0.4616353,0.27642033,7.216696e-05,0.8345501,0.4052083,0.31337053,0.26935726,0.18346944,0.48239118,0.20416154,0.8610354,0.60202795,0.014862888,0.9015102,0.00060283253,0.41942793,0.29777756
22.0,5,1.87,50,22.0,15.52256301,0.097803,0.19652852,0.19528173,2.5495345e-05,0.6064471,0.12494674,0.18686637,0.18597631,0.12058518,0.26347515,0.15052196,0.84676653,0.06384727,0.0029792613,0.96815693,0.00059973187,0.43419117,0.1705991
22.5,0,0.07,50,22.5,20.934819,0.23987938,0.34987006,0.20121999,0.041722156,0.23656002,0.08343034,0.39184415,0.19884051,0.2873454,0.34786767,0.25502402,0.40304726,0.07436003,0.055649973,0.41501868,0.053912506,0.44322446,0.3714281
22.5,1,0.29,50,22.5,20.22671468,0.16521493,0.7076669,0.11731576,0.56945306,0.8262445,0.6056043,0.73390955,0.10924258,0.15729645,0.7057339,0.23981242,0.9923784,0.60108584,0.4204211,0.9088506,0.5528779,0.9776954,0.60940856
22.5,2,0.58,50,22.5,18.68567427,0.10488908,0.2966375,0.0878367,0.054447442,0.41687122,0.08513933,0.27319166,0.082202695,0.10740197,0.30144495,0.07545932,0.9706825,0.14000626,0.060942516,0.9819838,0.054619152,0.6151786,0.23449439
22.5,3,0.94,50,22.5,17.62296289,0.20133881,0.8539026,0.20833765,0.0028627303,0.94783396,0.84224266,0.7038832,0.21456063,0.22113207,0.8693663,0.19503841,0.9284451,0.96037203,0.99508584,0.9344874,0.0010512216,0.9167662,0.59637207
22.5,4,1.37,50,22.5,16.81878355,0.20974885,0.52419823,0.19214432,6.0503862e-05,0.86389315,0.5215727,0.34595874,0.19431967,0.16631086,0.5527962,0.14790578,0.850326,0.7399445,0.030366346,0.91358835,0.00042259612,0.4428684,0.3418651
22.5,5,1.87,50,22.5,16.1795392,0.08204208,0.24937035,0.15715775,2.2449414e-05,0.683853,0.103451,0.22639573,0.15102701,0.094289444,0.3138155,0.12179189,0.85252386,0.05504203,0.0027840026,0.9729543,0.00047050224,0.47483748,0.20768738
23.0,0,0.07,50,23.0,21.45670594,0.48687613,0.48300865,0.4382255,0.08146823,0.35968575,0.1996484,0.5382942,0.42599392,0.5275829,0.48173183,0.4437387,0.32114974,0.164329,0.06936794,0.338841,0.14421287,0.506018,0.53733206
23.0,1,0.29,50,23.0,20.76121947,0.7851213,0.99265397,0.45328096,0.3501846,0.9936379,0.96109134,0.99386746,0.386718,0.8369488,0.9923646,0.9127789,0.900443,0.9739539,0.2210555,0.72125804,0.41712454,0.9982533,0.99041575
23.0,2,0.58,50,23.0,19.2549547,0.23242837,0.69105715,0.13967891,0.026049871,0.83643234,0.40469113,0.63812155,0.12139545,0.23597014,0.70061475,0.17154537,0.9693508,0.70118266,0.061838794,0.98152864,0.017869078,0.8142269,0.573795
23.0,3,0.94,50,23.0,18.22183405,0.43173194,0.9208008,0.17786528,0.0075461343,0.9582149,0.9323806,0.8896715,0.1653208,0.30304298,0.9205758,0.18908526,0.9131992,0.97029364,0.9941937,0.92985326,0.0006585273,0.9450721,0.8606448
23.0,4,1.37,50,23.0,17.44352089,0.28518507,0.61437184,0.15984826,5.90893e-05,0.8868528,0.6369832,0.36895463,0.1419355,0.18401782,0.64401895,0.11695873,0.8337795,0.87127393,0.10888425,0.92681557,0.0002828271,0.4655218,0.36882284
