Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N30,User_3_Acceptance_N30,User_5_Acceptance_N30,User_6_Acceptance_N30,User_7_Acceptance_N30,User_9_Acceptance_N30,User_12_Acceptance_N30,User_13_Acceptance_N30,User_14_Acceptance_N30,User_16_Acceptance_N30,User_17_Acceptance_N30,User_18_Acceptance_N30,User_19_Acceptance_N30,User_20_Acceptance_N30,User_23_Acceptance_N30,User_24_Acceptance_N30,User_25_Acceptance_N30,User_26_Acceptance_N30
22.0,0,0.07,50,22.0,20.4107032,0.98906726,0.28013042,0.037615053,0.004062598,0.97586024,0.91721493,0.6220587,0.42119086,0.5119145,0.7474104,0.24618429,0.19308357,0.9847887,0.14342567,0.2908317,0.022444101,0.9780368,0.21429898
22.0,1,0.29,50,22.0,19.689093,0.99999326,0.005537329,0.026954418,0.999715,0.86665505,0.6006439,0.96021897,0.25296852,0.07675379,0.10902808,0.9971698,0.25428945,0.9935361,0.222011,0.9986793,0.98594606,0.99973106,0.03056382
22.0,2,0.58,50,22.0,18.11130066,0.0010820003,0.0022286272,0.03752985,0.0008602503,0.99899364,0.00012679228,0.11185367,0.12103664,0.13545123,0.00022013046,0.000728074,0.2150198,0.99518144,0.0057218038,0.9833048,0.0004543224,0.98659104,0.33235952
22.0,3,0.94,50,22.0,17.01714963,0.00518019,0.01705614,0.00012448968,0.989754,0.92371124,6.959493e-05,0.022469752,0.116463676,0.14798337,1.7570239e-05,0.0016120401,0.91412175,0.99859965,0.015646027,0.9910006,0.010113011,0.9702705,0.27077785
22.0,4,1.37,50,22.0,16.18569635,0.113987185,0.16683507,0.00058393093,0.9539065,0.012696721,0.0041297693,0.060090195,0.32990575,0.14090909,3.2725882e-05,0.0008774967,0.5879232,0.9975714,0.02349916,0.99255824,0.5395334,0.102945715,0.46672073
22.0,5,1.87,50,22.0,15.52256301,0.44516864,0.3931156,0.0028091082,0.37507096,0.21470462,0.20932181,0.14929849,0.24369611,0.16235633,0.00030188554,0.0005714692,0.34389445,0.9970388,0.04865431,0.9922535,0.0055952864,0.32720867,0.36748192
22.5,0,0.07,50,22.5,20.934819,0.99623126,0.31888506,0.03624613,0.0059449794,0.95988023,0.68785185,0.5649512,0.40531677,0.43021637,0.8067133,0.5105376,0.2836863,0.9881377,0.20797311,0.5333023,0.018876592,0.9820173,0.2331229
22.5,1,0.29,50,22.5,20.22671468,0.9999978,0.0048200726,0.009869949,0.99985504,0.99933964,0.87985146,0.9298254,0.42496943,0.053334147,0.100825876,0.99582076,0.5160695,0.998836,0.45218456,0.99905914,0.9861267,0.9993917,0.025799325
22.5,2,0.58,50,22.5,18.68567427,0.21623318,0.0010630237,0.016525015,0.00046282963,0.9995865,0.00078622694,0.05092585,0.13258097,0.06858775,0.00021966586,0.00018777933,0.79616743,0.99322724,0.005225616,0.9830505,0.0003763736,0.98713297,0.20918024
22.5,3,0.94,50,22.5,17.62296289,0.008618162,0.011806192,9.1775444e-05,0.9887585,0.9895826,0.0007438875,0.028783256,0.16070738,0.13040246,8.659753e-05,0.015826054,0.9581678,0.99861795,0.013695809,0.9906967,0.01718692,0.9800766,0.24665846
