Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Predicted_Acceptance_N28,User_3_Predicted_Acceptance_N28,User_5_Predicted_Acceptance_N28,User_6_Predicted_Acceptance_N28,User_7_Predicted_Acceptance_N28,User_9_Predicted_Acceptance_N28,User_12_Predicted_Acceptance_N28,User_13_Predicted_Acceptance_N28,User_14_Predicted_Acceptance_N28,User_16_Predicted_Acceptance_N28,User_17_Predicted_Acceptance_N28,User_18_Predicted_Acceptance_N28,User_19_Predicted_Acceptance_N28,User_20_Predicted_Acceptance_N28,User_23_Predicted_Acceptance_N28,User_24_Predicted_Acceptance_N28,User_25_Predicted_Acceptance_N28,User_26_Predicted_Acceptance_N28
26.0,0,0.07,50,26.0,24.53324108,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
26.0,1,0.29,50,26.0,23.82854459,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
26.0,2,0.58,50,26.0,22.50092064,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
26.0,3,0.94,50,26.0,21.65035065,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.0,4,1.37,50,26.0,20.99786431,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
26.0,5,1.87,50,26.0,20.49091151,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1
26.5,0,0.07,50,26.5,25.04991076,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
26.5,1,0.29,50,26.5,24.33221479,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1
26.5,2,0.58,50,26.5,22.98664822,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1
26.5,3,0.94,50,26.5,22.18229568,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.5,4,1.37,50,26.5,21.55288998,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
26.5,5,1.87,50,26.5,21.06032424,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
27.0,0,0.07,50,27.0,25.56822788,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
27.0,1,0.29,50,27.0,24.83819438,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
27.0,2,0.58,50,27.0,23.47557613,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1
27.0,3,0.94,50,27.0,22.66082307,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
