"value1","value2","value3","value4","value5","value6","value7","value8","value9","value10","value11","value12","value13","value14","value15","value16","value17","value18","value19","value20","value21","value22","value23","value24"
NA,NA,NA,NA,NA,NA,NA,1.6287229270504,2.69061324894132,2.61225465639698,2.56711239186922,2.50141335486969,1.94694158783706,2.43944991312619,2.43889633988135,2.44382820548747,2.40189292407516,1.4783160617856,1.34894868666398,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.5499137161336,2.70702533029815,2.60082961769287,2.80642895064088,2.59719261854577,1.98620905168718,2.71977622299952,2.68544007951388,2.6493578117165,2.4516123434209,1.22993874801815,1.10186682595372,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.34529957104835,2.56504103879564,2.51964946943963,2.36959764969542,2.19795535133831,1.49756655473579,2.26563481182872,1.9370917651915,1.94092563108646,1.91819631453842,1.31284601269014,1.04564001686995,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.56336288786287,2.7813015809929,2.78890883064027,2.66869947532691,2.64820243332385,1.96528057731644,2.59162912760043,2.52329039547463,2.46138035997623,2.48715981225514,1.27286056260915,1.13401310390168,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.73398761502891,2.99322546976971,2.99608778563282,2.93802243412317,2.80783914244206,2.23651981853828,2.8372241521565,2.75496828219709,2.77920734436621,2.86006642346391,1.73188143903457,1.40800525733846,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.6555919456905,2.84310681383144,3.02823828071049,2.90305487971148,2.74392324655453,2.29483957170737,2.71792911467853,2.76748819601506,2.83068798067493,2.9141905855491,1.81358248117309,1.43945472693868,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.75246267531205,2.80940602742593,2.82971625964628,2.7458093321871,2.67370552831243,1.58263398047627,2.39251963881401,2.51738695266935,2.53533883596518,2.53744702500983,1.38602496543089,1.16672692878557,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.42538127485766,2.73116934230542,2.69348066405672,2.74570507756753,2.72244213873347,2.02735905769123,2.61140061337097,2.66168040685378,2.60104396220653,2.50691149833769,1.38036289080521,1.18885511791808,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.37839245823241,2.43884990975163,2.5474830779497,2.01342193709276,2.3688890031397,1.53860836820783,2.39764966974972,2.40765512798636,2.39009425200261,1.95879308340476,1.32518043538794,1.07344864578768,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.47131498478658,2.59899224535917,2.7063906414896,2.64759620058067,2.48286089636698,1.95361824951524,2.4143408185311,2.36695751385085,2.45945103139063,2.43011012442462,1.34538684111701,1.15372569078288,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.44656248112908,2.51275634313437,2.55676027718171,2.47147617598491,2.42942990237664,1.9374107767522,2.58717021064178,2.53088441330642,2.47141157087503,2.57685540106728,1.31415319543994,1.11274136402027,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.23745813922568,2.04779223387262,2.18517025237626,1.91069429027895,1.9731703966853,1.47858579275628,2.21651486700052,2.27924390946056,2.27740861905847,2.00306435426992,1.33965988338397,1.05082098957284,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.44796117768816,2.65874057218425,2.88325211927134,2.64936017152541,2.53645874603683,2.06643415385891,2.68895211639367,2.75812379418145,2.75459048301516,2.61256316399312,1.52358471497401,1.14755289116773,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.40715618144061,2.61485869191663,2.72331144100554,2.80865207521651,2.67089363087901,1.94303253645242,2.54038433907741,2.60862162951963,2.56559980963656,2.4254457572949,1.23059006786934,1.13997527058857,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.33369287822831,2.68944456897062,2.86127768759878,2.91016544229381,2.80627122795589,2.01845716322989,2.6641005756638,2.7557141749432,2.71790143450918,2.70949863450739,1.61763409018206,1.13817513646833,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.48913095846187,2.69361372471232,2.78285317465734,2.7462197260722,2.46644588595635,2.048994084237,2.60204879981359,2.63285694657176,2.43188170885007,2.40198127979191,1.38180614633882,1.16413977036884,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.34165757219215,2.71375064285239,2.8825969439784,2.87506589437799,2.77384827123123,2.16263135156557,2.70047085828362,2.67293653963967,2.59900814000475,2.70815219615161,1.70448093343186,1.15246019657608,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.41874488652777,2.65354597260921,2.65193197135535,2.58353794346464,2.64222605875141,2.0462031674002,2.63827517475935,2.69204901450391,2.76495114896285,2.54306169472501,1.39848331660094,1.1900502106834,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.62943859695697,2.80255235085327,2.9474992051103,2.84671994722015,2.67099424600887,2.1052345754259,2.59819233066615,2.58675567736057,2.68473385739932,2.53054618335316,1.39171974680778,1.14794341644593,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.59198293701436,2.77552711697525,2.90428367165907,2.75523044487255,2.76063605726909,1.68544692743857,2.39228085886868,2.66054358149332,2.64327847337724,2.64851444681135,1.37786377098609,1.15611870491598,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.39667493260376,2.70177735270907,2.78323350007306,2.57118566627655,2.55636532535729,2.07998792845662,2.78101073896808,2.77015345009542,2.81240689717279,2.64098959244881,1.42342893593668,1.18230019517783,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.42158854475981,2.52857537616704,2.6347344306861,2.63113217539396,2.52465761393357,1.96951070811824,2.42687497237395,2.48750456306112,2.5943603026047,2.01478996356122,1.31811145101937,1.09872461168006,NA,NA,NA,NA,NA
