"Day","MeanAcceptance"
1,NA
2,0.777777777777778
3,0.741573033707865
4,0.724489795918367
5,0.733333333333333
6,0.8
7,0.728971962616822
8,0.757281553398058
9,0.759259259259259
10,0.772727272727273
11,0.755102040816326
12,0.744444444444444
13,0.764044943820225
14,0.77
15,0.73469387755102
16,0.764150943396226
17,0.763440860215054
18,0.763440860215054
19,0.761904761904762
20,0.75
21,0.768421052631579
22,0.76
