Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance,User_2_Acceptance,User_4_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_10_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_21_Acceptance,User_22_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
22.0,0,0.07,50,22.0,20.4107032,0.05572168,0.16523972,0.24902976,0.40213242,0.21773367,0.30379522,0.16709782,0.14991158,0.19523287,0.05192867,0.21350889,0.27003083,0.21328862,0.23723125,0.18731181,0.21842338,0.2307014,0.17837518,0.3126705,0.18475111,0.16606711,0.29227778
22.0,1,0.29,50,22.0,19.689093,0.55528516,0.0973767,0.2733929,0.16037394,0.13660787,0.10334581,0.1088062,0.25912383,0.13567358,0.55585235,0.27087688,0.15589324,0.52245736,0.053074658,0.13301632,0.1904857,0.101748265,0.33282024,0.11570528,0.09344862,0.37941203,0.10468196
22.0,2,0.58,50,22.0,18.11130066,0.0025895757,0.021997511,0.004560664,0.60567605,0.10356792,0.18718033,0.012198064,0.002814594,0.022494214,0.035535272,0.17333414,0.46850643,0.15988208,0.005102837,0.045565825,0.025521083,0.04710875,0.17170046,0.013787632,0.117175646,0.04803663,0.34216845
22.0,3,0.94,50,22.0,17.01714963,0.00012523509,0.01562374,0.00654237,0.8185298,0.3239101,0.42869985,0.21195447,0.0010627722,0.14017661,0.059898276,0.3955085,0.8319035,0.62540895,0.009178384,0.0501941,0.03261728,0.046391647,0.4908801,0.06071955,0.32728532,0.058101583,0.51838875
22.0,4,1.37,50,22.0,16.18569635,0.00082762045,0.03569844,0.01812919,0.79511553,0.38013005,0.46796933,0.6036863,0.0038414607,0.33053175,0.9113806,0.24309118,0.85883635,0.57768434,0.2233714,0.13761514,0.0509696,0.16700172,0.5204677,0.10042567,0.37137046,0.18340643,0.46297386
22.0,5,1.87,50,22.0,15.52256301,0.001794856,0.035980534,0.016088469,0.776617,0.34109673,0.4618723,0.6623079,0.0051303688,0.33580688,0.94463855,0.16511247,0.858537,0.56394255,0.29358456,0.15479924,0.059761032,0.15568851,0.47219804,0.102434486,0.38012287,0.18402724,0.43754148
22.5,0,0.07,50,22.5,20.934819,0.07611742,0.28454658,0.29895952,0.44449773,0.3669461,0.24310243,0.31061247,0.2818351,0.27847847,0.0478785,0.23079412,0.41925135,0.37497833,0.284405,0.27303398,0.23870237,0.32985988,0.22410448,0.4455866,0.33926317,0.22948676,0.38691342
22.5,1,0.29,50,22.5,20.22671468,0.63522726,0.2061147,0.66143876,0.43446574,0.32609662,0.15791555,0.31014124,0.6940096,0.1285161,0.576745,0.41515657,0.31940922,0.8047746,0.11227157,0.42374393,0.5793948,0.14861993,0.39781114,0.14100689,0.11075511,0.40038466,0.102643974
22.5,2,0.58,50,22.5,18.68567427,0.0024178838,0.010324877,0.010601957,0.55404544,0.07408189,0.1523791,0.0136293555,0.0021086547,0.028913498,0.0154999895,0.09620383,0.39401197,0.15424573,0.0053082802,0.020288507,0.03539066,0.017400242,0.097162895,0.014328879,0.11906753,0.01914903,0.21632288
22.5,3,0.94,50,22.5,17.62296289,0.00013244284,0.009490729,0.0068356767,0.80905145,0.2894849,0.39319754,0.12109336,0.0008486255,0.12511528,0.02817843,0.4387579,0.8024743,0.60571545,0.0056101806,0.033311803,0.045345813,0.029654378,0.47616625,0.050380785,0.30289748,0.042569656,0.4957302
