"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,25.5,NA,1,0,5,NA,NA,NA,2,NA,NA,NA,3,0,0,NA,NA
10,26,NA,1,0,NA,NA,1,1,NA,1,1,4,3,0,0,1,NA
11,26,2,1,0,5,NA,1,1,2,1,1,NA,NA,0,0,1,1
12,26,2,1,0,5,NA,1,1,2,NA,1,4,3,NA,NA,1,1
13,22.5,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
14,27,3,1,0,NA,2,1,1,4,4,NA,NA,NA,1,NA,2,NA
15,27,NA,1,0,5,2,1,NA,4,4,NA,4,4,1,NA,NA,1
16,25.5,3,1,0,5,1,NA,1,4,NA,1,3,3,NA,0,1,0
17,27,NA,1,0,5,2,1,1,4,4,1,4,4,NA,NA,2,1
18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
