"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,26,NA,1,0,1,NA,NA,NA,2,NA,NA,NA,3,0,0,NA,NA
10,27.5,NA,1,0,NA,NA,1,1,2,4,4,4,4,2,2,3,NA
11,28.5,1,2,0,5,NA,3,2,2,4,5,NA,NA,2,2,5,2
12,28.5,1,2,0,5,NA,3,2,2,NA,5,4,4,NA,NA,5,2
13,26,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,0,0,NA,1
14,27.5,1,1,0,NA,3,1,1,2,4,NA,NA,NA,2,NA,3,NA
15,28.5,NA,2,0,5,3,3,NA,2,4,NA,4,4,2,NA,NA,2
16,27,1,1,0,5,2,NA,1,2,NA,3,4,4,NA,1,2,1
17,28.5,NA,2,0,5,3,3,2,2,4,5,4,4,NA,NA,5,2
18,22,NA,NA,0,NA,NA,NA,2,NA,NA,0,NA,NA,NA,2,0,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
