N,mean_acceptance_avg,Eall_sum
2,0.858257054,222.44213
4,0.853711668,218.5113819
6,0.795435485,221.7627433
8,0.796710707,219.0655513
10,0.827626932,214.8674579
12,0.777770246,215.3624874
14,0.799386143,215.2710103
16,0.799456906,214.6643544
18,0.838423135,215.4956918
20,0.905138303,210.9137067
