"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
"8","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","22.5",NA,"2,3,4","0,1,2,3,4,5","1,2,3,4",NA,NA,NA,"0,2,3,4,5",NA,NA,NA,"4","0","2,3,4,5",NA,NA
"10","25.5",NA,"1,2,5","0,1",NA,NA,"0,1,2,3,4,5","1,2,3,4","0,1,2,3,4","1,2,4","3,5",NA,"3,4,5","0,1,5","0,1,3,4,5","1,2",NA
"11","23.5",NA,"2,3,4","0,1,2,3,4,5","4,5",NA,"5","1,2,4,5","0,1,2,3,4,5","0,1,2,3,4,5","3,4",NA,NA,"0","1,2,3,4","1,3","1,2,3,4,5"
"12","23.5",NA,"2,3,4","0,1,2,3,4,5","4,5",NA,"5","1,2,4,5","0,1,2,3,4,5",NA,"3,4","2,3,4","4,5",NA,NA,"1,3","1,2,3,4,5"
"13","22",NA,"3,4",NA,NA,"2,3,4,5",NA,NA,NA,NA,NA,"2,3,4,5",NA,NA,"3,4",NA,"4"
"14","22.5","3,4","2,3,4","0,1,2,3,4,5",NA,"2,3,4,5","2","2,3,4","0,2,3,4,5","0,1,2,3,4,5",NA,NA,NA,"0",NA,"2,3",NA
"15","22.5",NA,"2,3,4","0,1,2,3,4,5","1,2,3,4","2,3,4,5","2",NA,"0,2,3,4,5","0,1,2,3,4,5",NA,"2,3,4,5","4","0",NA,NA,"4"
"16","22.5","3,4","2,3,4","0,1,2,3,4,5","1,2,3,4","2,3,4,5",NA,"2,3,4","0,2,3,4,5",NA,"2,3,4","2,3,4,5","4",NA,"2,3,4,5","2,3","4"
"17","22.5",NA,"2,3,4","0,1,2,3,4,5","1,2,3,4","2,3,4,5","2","2,3,4","0,2,3,4,5","0,1,2,3,4,5","2,3,4","2,3,4,5","4",NA,NA,"2,3","4"
"18","23",NA,NA,"0,1,2,3,4,5",NA,NA,NA,"1,2,3,4",NA,NA,"2,3,4",NA,NA,NA,"2,3,4","1,2,3,4","2,4"
"19","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
