"Rdissatisfied","Rdissatisfied_true_TP","Rdissatisfied_true_TP_AMP","Eall","Npresent","Nsatisfied_ave_all_sim","Nsatisfied_ave_all_eval1","Nsatisfied_ave_all_eval2","ta","Eplant_target","Eahu_target","Ecfan","Eplant","Qcoil","Qmid1","Qmid2","Qmid3","Qmid4","Qmidn","Qmide","Qmids","Qmidw","V23","V24","V25","V26"
0.0930232558139535,0.0813953488372093,0.0930232558139535,18.8963034411135,86,78,79,78,625.975904485726,16.1160884315842,2.42421500952933,0.356,2934.34764102547,13527.0448499374,74.3170841713506,76.9253501832496,76.3019092755509,75.7174295218867,130.489956087993,115.513551033754,134.763007465545,111.302362604282,23,35,25,21
NA,NA,NA,1.67232920374652,0,0,0,0,24.3085130689175,1.4513661662415,0.220963037505017,0,223.404328063883,1027.96592693878,6.67827243696638,6.67529932032745,6.5951091813471,6.37944761042327,8.72223407925875,8.42204377661096,8.98371945170521,7.96286213167445,0,0,0,0
0,0,0,1.06402789857556,4,4,4,4,26.6357721426594,0.893812861275643,0.13921503729992,0.031,186.278890362358,844.053388818579,4.04997996853961,4.0559888408965,3.95383801082947,4.00190898968454,9.1034416206788,7.10248712583653,10.0468345807095,6.94024757220068,2,3,4,0
0,0,0,2.24447307472863,9,9,9,9,24.54598271707,1.91477778937148,0.296695285357152,0.033,323.146360311458,1482.27043686572,8.78307435558576,8.6393111253334,8.76159982882414,8.27071329335193,13.8541722649058,12.9935201692312,13.9125406220783,12.0974435783754,3,4,2,1
0.2,0.2,0.2,1.02658227760126,5,4,4,4,26.8042425029821,0.86613347964683,0.134448797954425,0.026,185.860823657772,846.625432903908,3.94537491940089,4.51699386648062,4.53379052364735,4.35169779739958,8.86831306067115,6.91904028891967,9.78733956266809,6.76099114526414,2,3,0,3
0.166666666666667,0.166666666666667,0.166666666666667,1.51628270503174,12,10,10,10,26.5076328836318,1.3176308119013,0.165651893130443,0.033,228.741785763961,1095.50149359982,6.31046276757026,6.41099586315474,6.46497722479402,6.49724360101356,10.4297516652958,9.33414100005731,10.3038454454083,8.74654439589059,2,4,1,3
0.222222222222222,0.222222222222222,0.222222222222222,1.13727115752355,9,7,7,7,27.3345136493633,0.952056120223628,0.13921503729992,0.046,198.386879946118,917.064272663034,4.40097981108631,4.40750945472294,4.29650551290029,4.3487426619933,9.89241010948927,7.71803877849262,10.9175641604396,7.5417384003037,4,3,2,4
0,0,0,2.56478569675532,10,10,10,10,24.2968785616753,2.13987099724799,0.39191469950733,0.033,393.394611504247,1733.33782054188,9.42849551606164,9.77221266162623,9.25001299308588,9.74789588401604,16.8171408757638,15.3809404293476,17.0168631237853,14.4836299253308,3,4,2,1
0.166666666666667,0.0833333333333334,0.166666666666667,1.618910104827,12,10,11,10,25.7087448890753,1.41639701243751,0.16951309238949,0.033,260.134316154583,1276.06913877528,6.94802801315519,7.46580500463828,7.48845384005238,7.32447677038642,12.2059464613771,10.7970836635081,12.0599105711916,10.9388824302016,1,4,3,2
0.125,0.125,0.125,1.2616127653569,8,7,7,7,27.2574016802403,1.04957666605876,0.147036099298144,0.065,204.203198194525,955.747941429664,4.91241443242568,5.52792156106256,5.57616119044914,5.54686184242596,9.43560269203361,8.09327447902007,9.48766690345938,7.98567271275253,4,4,5,4
0,0,0,2.1358786047292,12,12,12,12,24.6989799218375,1.82111285852242,0.291765746206783,0.023,310.169975199997,1430.27506938302,8.39762881109936,8.7605966016134,8.84265356672314,8.85217335710993,12.5966625360005,12.5636498804465,12.5125277038333,11.8863514279406,0,4,2,1
0,0,0,1.0587872114031,5,5,5,5,25.9824341875487,0.886572174103182,0.13921503729992,0.033,184.714789947756,838.672456401248,4.0253607371798,4.03133308248719,3.92980321226159,3.97758197472069,9.04810314069347,7.05931215333312,9.98576135395345,6.89805883003364,2,2,4,2
NA,NA,NA,1.59536274083471,0,0,0,0,24.0678550371271,1.40678149455392,0.18858124628079,0,235.911681918807,1079.4614716165,6.43701240227971,6.66138280090628,6.60900419063636,6.41868573936149,9.51617758182491,9.13001928895039,9.74843398631315,9.05994005431409,0,0,0,0
