N,mean_acceptance_avg,Eall_sum
2,0.203055187,175.0273067
4,0.295259859,176.567401
6,0.349351251,181.8798762
8,0.398804786,182.0071205
10,0.310474701,180.5205771
12,0.363046356,183.2836362
14,0.387985888,182.3616235
16,0.375516122,182.8226299
18,0.402051808,184.207679
20,0.388783965,171.4746846
