"N","mean_acceptance_avg","Eall_sum"
2,0.768739463255935,201.118550965378
4,0.78019301619503,200.574840726644
6,0.631649218979598,212.069065920629
8,0.866264325354519,178.644886649886
10,0.886801210445534,173.808735865863
12,0.84934926743722,184.751115936003
14,0.83826876096832,185.920656390195
16,0.847777065739842,184.334527459771
18,0.923222055606448,173.808919003567
20,0.914368947105171,180.501307986351
