Indoor Temp,FanMode,Air Velocity,Indoor Humidity,SET*,9,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
22.0,0,0.07,50,20.4107032000114,0.741627029576631,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447,0.33438447
22.0,1,0.29,50,19.6890930034132,0.696098834320041,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572,0.07076572
22.0,2,0.58,50,18.111300655776,0.252418575363086,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884,0.16704884
22.0,3,0.94,50,17.0171496277535,0.0802082974569741,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712,0.25676712
22.0,4,1.37,50,16.1856963490387,0.129340777203593,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654,0.25185654
22.0,5,1.87,50,15.5225630130966,0.0094807377203823,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568,0.1634568
22.5,0,0.07,50,20.9348189988475,0.806087910340614,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436,0.26785436
22.5,1,0.29,50,20.2267146787686,0.727905146663176,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794,0.089577794
22.5,2,0.58,50,18.6856742662832,0.291864467654357,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134,0.094926134
22.5,3,0.94,50,17.622962886865,0.238488973873659,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364,0.3163364
22.5,4,1.37,50,16.8187835454156,0.02210939771488,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397,0.18170397
22.5,5,1.87,50,16.1795392044093,0.0,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055,0.13705055
23.0,0,0.07,50,21.4567059433781,0.721837887578801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801,0.4753801
23.0,1,0.29,50,20.7612194681658,0.821595911628999,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961,0.540961
23.0,2,0.58,50,19.2549546963511,0.497357088728812,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741,0.16555741
23.0,3,0.94,50,18.2218340460146,0.341239084198949,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357,0.30907357
23.0,4,1.37,50,17.4435208874066,0.222334448334901,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593,0.13310593
23.0,5,1.87,50,16.8270917563112,0.0,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877,0.11388877
23.5,0,0.07,50,21.975912132999,0.730271861462456,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523,0.6529523
23.5,1,0.29,50,21.2922429942955,0.848768104541326,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285,0.9841285
23.5,2,0.58,50,19.81868426042,0.654680766917212,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745,0.35178745
23.5,3,0.94,50,18.8136841838043,0.394597478646868,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647,0.30761647
23.5,4,1.37,50,18.0596212084672,0.323418454403492,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003,0.10608003
23.5,5,1.87,50,17.464646712629,0.127595843270259,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507,0.09037507
24.0,0,0.07,50,22.4844194972403,0.696250907200077,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444,0.6997444
24.0,1,0.29,50,21.8192427655917,0.754215768535879,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352,0.9966352
24.0,2,0.58,50,20.3765724403561,0.652808079115285,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455,0.61128455
