Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N20,User_3_Acceptance_N20,User_5_Acceptance_N20,User_6_Acceptance_N20,User_7_Acceptance_N20,User_9_Acceptance_N20,User_12_Acceptance_N20,User_13_Acceptance_N20,User_14_Acceptance_N20,User_16_Acceptance_N20,User_17_Acceptance_N20,User_18_Acceptance_N20,User_19_Acceptance_N20,User_20_Acceptance_N20,User_23_Acceptance_N20,User_24_Acceptance_N20,User_25_Acceptance_N20,User_26_Acceptance_N20
22.0,0,0.07,50,22.0,20.4107032,0.9997394,0.99938315,0.023681328,0.13733917,0.852527,0.9890849,0.7381554,0.99075526,0.9999687,0.68826205,0.9997668,0.9904736,0.99391687,0.48844963,0.9994957,0.026925351,0.65824157,0.045293335
22.0,1,0.29,50,22.0,19.689093,0.9975677,0.9797831,0.00013852077,0.22272897,0.7820123,0.9496221,0.74729216,0.9997053,0.0065267007,0.9995199,0.48438305,0.9997747,0.9852584,0.12059554,0.99709105,0.09620483,0.9981993,0.019080248
22.0,2,0.58,50,22.0,18.11130066,0.0076568183,0.06403596,6.125632e-05,0.32638088,0.8980213,0.7272223,0.49617746,0.038077503,0.02574251,0.13871413,0.0059745726,0.999689,0.996988,0.11819165,0.99304813,0.004161155,0.89204746,0.0005135284
22.0,3,0.94,50,22.0,17.01714963,0.0091334805,0.055291243,2.0906118e-05,0.43143368,0.9408363,0.48272887,0.4341519,0.03440371,0.01929024,0.15695615,0.6233931,0.42243177,0.9970907,0.016028028,0.9983449,0.8185143,0.53574646,0.0001275862
22.0,4,1.37,50,22.0,16.18569635,0.0023230629,0.04588281,1.906112e-05,0.27506933,0.735424,0.21475275,0.14490008,0.0005095084,0.0055854893,0.08558474,0.06834798,0.08182543,0.97024345,0.008456652,0.48330915,0.78894424,0.4988515,9.004695e-05
22.0,5,1.87,50,22.0,15.52256301,0.0007925128,0.017390318,0.00018211915,0.04512658,0.6310394,0.075780526,0.30891392,0.0003544068,0.032117166,0.08776201,0.034788497,0.12123321,0.5952654,0.025286399,0.4778001,0.013457238,0.4254848,0.00021571398
22.5,0,0.07,50,22.5,20.934819,0.9996934,0.99966097,0.07313754,0.094020575,0.87634283,0.9746641,0.79958487,0.9927297,0.9999793,0.8290418,0.99982905,0.99968493,0.97861075,0.3671651,0.9995727,0.013680338,0.9501842,0.6405
22.5,1,0.29,50,22.5,20.22671468,0.99770737,0.98932606,0.00010372169,0.14828312,0.93093,0.94868165,0.7438202,0.99992007,0.035631217,0.9999359,0.96527505,0.9998567,0.9751239,0.09914647,0.9968631,0.05897633,0.9990565,0.102492414
22.5,2,0.58,50,22.5,18.68567427,0.012176834,0.068218,7.912725e-05,0.3339159,0.90099436,0.8601192,0.4964477,0.3078503,0.05906063,0.14166069,0.011163335,0.9997045,0.9971536,0.13129802,0.9764558,0.0042160423,0.97832537,0.00086034386
22.5,3,0.94,50,22.5,17.62296289,0.0359085,0.076373465,2.7748101e-05,0.44523397,0.93887156,0.50332487,0.43369064,0.043794915,0.037000943,0.12234301,0.78148425,0.56600803,0.99714625,0.014966917,0.99844,0.81489044,0.6435883,0.00013481089
