Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N4,User_3_Acceptance_N4,User_5_Acceptance_N4,User_6_Acceptance_N4,User_7_Acceptance_N4,User_9_Acceptance_N4,User_12_Acceptance_N4,User_13_Acceptance_N4,User_14_Acceptance_N4,User_16_Acceptance_N4,User_17_Acceptance_N4,User_18_Acceptance_N4,User_19_Acceptance_N4,User_20_Acceptance_N4,User_23_Acceptance_N4,User_24_Acceptance_N4,User_25_Acceptance_N4,User_26_Acceptance_N4
22.0,0,0.07,50,22.0,20.4107032,0.58291894,0.5224545,0.7094816,0.5684234,0.3917099,0.5477262,0.6151878,0.6150105,0.44224778,0.5152781,0.3455238,0.5158873,0.4629139,0.59646,0.40688655,0.54870766,0.8211074,0.4453814
22.0,1,0.29,50,22.0,19.689093,0.21230896,0.15999176,0.08948206,0.27135378,0.85572624,0.29968655,0.30196834,0.14651315,0.42325896,0.421336,0.9940762,0.27312642,0.97006506,0.11295687,0.26235777,0.25265253,0.99794275,0.006497245
22.0,2,0.58,50,22.0,18.11130066,0.007006034,0.020550368,0.13819891,0.31483868,0.98971826,0.19162442,0.38417715,0.092911325,0.0022833722,0.3010921,0.9495891,0.26914546,0.9987175,0.068883985,0.6539021,0.19214793,0.99471426,3.3547425e-05
22.0,3,0.94,50,22.0,17.01714963,0.009963504,0.0030539525,0.026742239,0.20489483,0.9929268,0.025505412,0.43701887,0.06590894,0.0030137103,0.016987294,0.15213394,0.15586412,0.99927425,0.015050395,0.96594536,0.2575509,0.7928399,3.8224225e-05
22.0,4,1.37,50,22.0,16.18569635,0.003926883,0.005025788,0.0011708724,0.020222308,0.9919202,0.018234255,0.021009978,0.0006473924,0.06878258,0.011263015,0.0038628038,0.014041599,0.9536167,0.0005916881,0.08101429,0.07158372,0.46633428,0.00016857559
22.0,5,1.87,50,22.0,15.52256301,0.02000597,0.07026046,0.0008975275,0.18507005,0.9738778,0.50087106,0.19619113,0.082550205,0.3629213,0.14461718,0.002184036,0.033320427,0.46462634,0.0051833503,0.21918948,0.15069598,0.44449586,0.012634921
22.5,0,0.07,50,22.5,20.934819,0.60026866,0.5604515,0.5999426,0.5369961,0.63001436,0.5795829,0.66874874,0.53992987,0.41129604,0.6001948,0.3938554,0.50531644,0.1587271,0.4923588,0.38618448,0.5398769,0.85276407,0.700135
22.5,1,0.29,50,22.5,20.22671468,0.96790326,0.17910606,0.04526448,0.26906374,0.9392206,0.3056479,0.32634935,0.13712889,0.6212637,0.66259736,0.99517125,0.28138876,0.98461485,0.094234996,0.29357612,0.25219497,0.99824816,0.6812925
22.5,2,0.58,50,22.5,18.68567427,0.006529354,0.024641925,0.14035785,0.31501585,0.988589,0.24891953,0.46271253,0.14831811,0.0024704505,0.39051738,0.9673494,0.24681044,0.9989236,0.06521452,0.65921104,0.17906435,0.99127305,7.320854e-05
22.5,3,0.94,50,22.5,17.62296289,0.0129298605,0.0021585454,0.033633467,0.35940668,0.9916809,0.04597435,0.47437438,0.092620865,0.002322758,0.016811693,0.1751648,0.32133338,0.99919313,0.013300175,0.9577012,0.38913557,0.6689246,3.2461587e-05
22.5,4,1.37,50,22.5,16.81878355,0.0036929008,0.0041478584,0.0011411987,0.017321145,0.99065894,0.017526742,0.018177798,0.0006585738,0.058314264,0.009736225,0.003976073,0.012832704,0.9678905,0.00071022793,0.12790956,0.06267717,0.46257403,0.00012023686
