"ta","mode","oc1","oc2","oc3","oc4","oc5","oc6","oc7","oc8","oc9","oc10","oc11","oc12","oc13","oc14","oc15","oc16"
23.3,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
23.3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23.4,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0
23.4,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0
23.4,2,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0
23.4,3,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0
23.4,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
23.4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23.5,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
23.5,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0
23.5,2,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0
23.5,3,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0
23.5,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
23.5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23.6,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
23.6,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
23.6,2,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0
23.6,3,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
23.6,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
23.6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23.7,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
23.7,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
23.7,2,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0
23.7,3,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
23.7,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
23.7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23.8,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
23.8,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0
23.8,2,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
23.8,3,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
23.8,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
23.8,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23.9,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
23.9,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0
23.9,2,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
23.9,3,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
23.9,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
23.9,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
24,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
24,3,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
24,4,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
24,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24.1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
24.1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.1,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
24.1,3,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0
24.1,4,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
24.1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24.2,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.2,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.2,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
24.2,3,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
24.2,4,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
24.2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24.3,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.3,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.3,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
24.3,3,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0
24.3,4,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
