"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,22.5,NA,2,0,1,NA,NA,NA,0,NA,NA,NA,4,0,2,NA,NA
10,25.5,NA,1,0,NA,NA,0,1,0,1,3,2,3,0,0,1,NA
11,23.5,3,2,0,4,NA,5,1,0,0,3,NA,NA,0,1,1,1
12,23.5,3,2,0,4,NA,5,1,0,NA,3,2,4,NA,NA,1,1
13,22,NA,3,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,3,NA,4
14,22.5,3,2,0,NA,2,2,2,0,0,NA,NA,NA,0,NA,2,NA
15,22.5,NA,2,0,1,2,2,NA,0,0,NA,2,4,0,NA,NA,4
16,22.5,3,2,0,1,2,NA,2,0,NA,2,2,4,NA,2,2,4
17,22.5,NA,2,0,1,2,2,2,0,0,2,2,4,NA,NA,2,4
18,23,NA,NA,0,NA,NA,NA,1,NA,NA,2,NA,NA,NA,2,1,2
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
