"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,22,NA,3,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA
10,23,NA,2,1,NA,NA,NA,1,0,0,2,2,2,0,2,0,NA
11,24,2,2,0,1,NA,0,1,0,1,3,NA,NA,0,1,0,NA
12,24,2,2,0,1,NA,0,1,0,NA,3,2,4,NA,NA,0,NA
13,22,NA,3,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
14,22,2,3,1,NA,2,NA,2,2,0,NA,NA,NA,NA,NA,2,NA
15,22,NA,3,1,2,2,NA,NA,2,0,NA,2,2,NA,NA,NA,NA
16,24,2,2,0,1,1,NA,1,0,NA,3,2,4,NA,1,0,NA
17,22,NA,3,1,2,2,NA,2,2,0,4,2,2,NA,NA,2,NA
18,22,NA,NA,1,NA,NA,NA,2,NA,NA,4,NA,NA,NA,2,2,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
