value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
NA,NA,NA,NA,NA,NA,NA,1.229499482,1.652996782,1.875678416,1.978484659,1.924237189,1.418126963,1.901616455,1.881425016,1.868151287,1.9100193,1.238736014,1.139525333,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.113334072,3.039461951,3.032168876,2.863782872,2.786701316,2.364830447,2.680598625,2.691041318,2.71476715,2.78716156,1.392687244,1.061236916,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.068779565,2.788459648,2.656002921,2.526321844,2.349796792,1.590356992,2.419498857,2.402723123,2.396513917,2.043611672,1.327857223,1.019038419,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.133310965,3.129261567,3.014589573,2.774698455,2.736524906,2.32150925,2.670710065,2.716915175,2.706556404,2.757545816,1.400651923,1.089929697,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.208837509,3.214924038,3.007039231,2.877407378,2.821648177,2.775048964,2.779834757,2.789983989,2.80902474,2.867042964,2.098502725,1.179494415,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.155787455,3.158000956,2.994120147,2.863694576,2.82192683,2.811766106,2.816330121,2.807969265,2.829314278,2.880668299,2.161896549,1.197825788,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.275161767,3.127600549,3.149025987,3.067048261,2.782517462,1.772442567,2.605517377,2.772876782,2.792909441,2.692074991,1.429971475,1.077296884,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.037382385,3.049031611,3.003984413,2.893395893,2.797612796,2.384370131,2.710559651,2.728794776,2.812726197,2.793638315,1.489334294,1.111597493,NA,NA,NA,NA,NA
,,,,,,,219.8723948,,,,,,,,,,,,,,,,
