"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
10,4,1,23,178,60.3,6,0.67,24,0.072701,25.122,-1,0,2,1,0,1,1,1,0,0,1,83,2,1,72,0,0
10,4,1,24,178,62,7,0.48,24,0.072701,23.545,-2,0,2,1,0,1,0,1,0,0,1,100,0,1,78,0,0
10,7,1,24,178,62.25,7,0.59,24,0.072701,24.472,-2,0,2,1,0,1,0,1,0,0,1,100,2,1,74,0,0
10,2,1,24,178,61.45,7,0.59,24,0.072701,24.472,-1,0,2,1,0,1,0,1,0,0,1,100,0,1,74,0,0
10,4,1,23,178,60.3,6,0.67,24,0.94069,21.655,-2,0,2,1,0,1,1,1,0,0,1,83,1,1,60,0,0
10,4,1,24,178,62,7,0.48,24,0.94069,19.832,-2,0,2,1,0,1,1,1,0,0,1,100,0,1,60,0,0
10,7,1,24,178,62.25,7,0.59,24,0.94069,20.915,-2,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
10,2,1,24,178,61.45,7,0.59,24,0.94069,20.915,-2,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
10,4,1,23,178,60.3,6,0.67,24,1.8709,20.626,-2,1,0.1,0.1,1,1,1,0.1,-1,0,1,100,0,0.1,60,1,0
10,4,1,24,178,62,7,0.48,24,1.8709,18.623,-2,0,2,1,0,1,1,1,0,0,1,100,0,1,60,0,0
10,7,1,24,178,62.25,7,0.59,24,1.8709,19.818,-2,1,1,1,0,1,0,1,-1,0,1,100,0,1,60,1,0
10,2,1,24,178,61.45,7,0.59,24,1.8709,19.818,-3,1,-0.1,0.1,0,1,2,0.1,-2,0,1,100,0,1,60,1,0
10,4,1,23,178,60.3,6,0.5,24,0.072701,23.716,-1,-1,1,1,0,1,0,1,1,0,1,83,0,1,77,2,0
