"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
6,4,1,24,164,63.05,24,0.43,24,0.072701,23.111,-2,-2,2,1,1,0.1,-1,1,1,0,1,83,0,1,81,2,0
6,2,1,24,164,62.65,24,0.32,24,0.072701,22.196,-1,0,1,0.1,2,0.1,-2,0.1,1,0,0.1,50,2,-0.1,89,0,0
6,5,1,24,164,63.75,24,0.48,24,0.072701,23.545,0,-1,0.1,0.1,0,0.1,-2,0.1,1,0,1,100,0,1,78,2,0
6,2,1,24,164,63,24,0.32,24,0.072701,22.196,-1,0,1,0.1,0,1,0,1,0,0,1,100,0,1,89,0,0
6,4,1,24,164,63.05,24,0.43,24,0.94069,19.311,-3,-1,2,1,2,0.1,2,1,0,0,1,83,0,0.1,60,2,0
6,5,1,24,164,63.75,24,0.48,24,0.94069,19.832,-2,1,2,1,0,1,1,1,-1,0,1,100,0,1,60,1,0
6,2,1,24,164,63,24,0.32,24,0.94069,18.087,-2,0,2,1,1,1,1,1,0,0,1,100,0,1,60,0,0
6,4,1,24,164,63.05,24,0.43,24,1.8709,18.041,-3,-2,0.1,-0.1,0,0.1,3,-0.1,-2,0,0.1,83,0,1,60,2,1
6,2,1,24,164,62.65,24,0.32,24,1.8709,16.658,-3,1,1,0.1,2,1,2,0.1,-1,0,1,83,0,-0.1,60,1,0
6,5,1,24,164,63.75,24,0.48,24,1.8709,18.623,-3,1,1,1,1,1,2,0.1,-1,0,1,100,0,0.1,60,1,0
6,2,1,24,164,63,24,0.32,24,1.8709,16.658,-3,2,0.1,0.1,0,1,3,-0.1,-2,0,1,100,0,1,60,1,0
6,3,1,24,164,63.35,24,0.32,24,0.072701,22.196,-2,-1,1,1,1,1,1,1,1,0,1,100,0,1,89,2,0
6,8,1,24,164,63.4,24,0.32,24,0.072701,22.196,-1,-1,0.1,0.1,1,0.1,-2,0.1,1,0,1,100,0,1,89,2,0
6,3,1,24,164,63.35,24,0.32,24,0.94069,18.087,-3,-2,-0.1,-0.1,1,0.1,2,0.1,-2,0,1,83,0,0.1,60,2,1
6,2,1,24,164,63.25,24,0.32,24,0.94069,18.087,-2,0,2,1,1,0.1,1,1,0,0,1,100,0,0.1,60,0,0
6,8,1,24,164,63.4,24,0.32,24,0.94069,18.087,-2,0,2,1,1,1,0,1,0,0,1,100,0,0.1,60,0,0
6,3,1,24,164,63.35,24,0.32,24,1.8709,16.658,-3,1,-0.1,-0.1,2,-0.1,3,-0.1,-1,0,0.1,83,0,-0.1,60,1,1
6,2,1,24,164,63.25,24,0.32,24,1.8709,16.658,-3,1,1,0.1,2,0.1,1,0.1,-1,0,1,100,0,-0.1,60,1,0
6,8,1,24,164,63.4,24,0.32,24,1.8709,16.658,-3,1,1,1,0,1,1,0.1,-1,0,1,100,0,0.1,60,1,0
6,3,1,24,164,62.95,24,0.32,27,0.072701,25.738,-1,-1,0.1,0.1,1,0.1,-1,0.1,0,0,0.1,67,0,0.1,71,2,0
6,2,1,24,164,63,24,0.32,27,0.072701,25.738,-1,0,2,1,1,1,-3,1,0,0,1,100,0,1,71,0,0
6,8,1,24,164,62.8,24,0.32,27,0.072701,25.738,-1,-1,0.1,0.1,-1,1,-2,0.1,1,0,1,100,0,1,71,2,0
6,3,1,24,164,62.95,24,0.32,27,0.94069,21.752,-2,0,1,0.1,1,0.1,1,1,0,0,1,83,0,0.1,60,0,0
6,2,1,24,164,63,24,0.32,27,0.94069,21.752,-2,0,2,1,0,1,1,1,0,0,1,100,0,1,60,0,0
6,8,1,24,164,62.8,24,0.32,27,0.94069,21.752,-1,-1,0.1,0.1,0,1,-1,0.1,1,0,1,100,0,1,60,2,0
6,3,1,24,164,62.95,24,0.32,27,1.8709,20.624,-2,0,1,0.1,2,-0.1,2,0.1,-1,0,0.1,67,0,-0.1,60,0,0
6,2,1,24,164,63,24,0.32,27,1.8709,20.624,-2,0,2,1,0,1,2,1,0,0,1,100,0,1,60,0,0
6,8,1,24,164,62.8,24,0.32,27,1.8709,20.624,-2,0,2,1,0,1,2,1,0,0,1,100,0,0.1,60,0,0
6,3,1,24,164,63.75,24,0.34,27,0.072701,25.908,-1,-1,0.1,0.1,1,0.1,-2,0.1,1,0,0.1,67,0,0.1,70,2,0
6,4,1,24,164,63.35,24,0.74,27,0.072701,28.99,0,-1,0.1,0.1,1,0.1,-3,-0.1,1,0,1,83,0,0.1,66,2,0
6,7,1,24,164,62.8,24,0.32,27,0.072701,25.738,-1,-1,0.1,0.1,1,0.1,-1,0.1,1,0,1,100,0,1,71,2,0
6,3,1,24,164,63.75,24,0.34,27,0.94069,21.942,-1,-1,1,0.1,1,0.1,1,1,0,0,1,83,0,0.1,60,2,0
6,4,1,24,164,63.35,24,0.74,27,0.94069,25.425,-1,0,1,1,1,1,1,1,0,0,1,100,0,1,60,0,0
6,7,1,24,164,62.8,24,0.32,27,0.94069,21.752,-1,-1,1,0.1,1,1,0,1,0,0,1,100,0,1,60,2,0
6,3,1,24,164,63.75,24,0.34,27,1.8709,20.832,-2,0,1,1,1,0.1,2,1,0,0,1,83,0,0.1,60,0,0
6,4,1,24,164,63.35,24,0.74,27,1.8709,24.528,-1,-1,1,0.1,1,0.1,1,1,0,0,0.1,50,1,0.1,60,2,0
6,7,1,24,164,62.8,24,0.32,27,1.8709,20.624,-2,0,2,1,2,0.1,1,1,0,0,1,100,0,0.1,60,0,0
6,3,1,24,164,64.2,24,0.32,30,0.072701,29.479,0,-2,0.1,0.1,0,0.1,-3,-1,2,0,0.1,50,1,0.1,66,2,0
6,4,1,24,164,62.65,24,0.32,30,0.072701,29.479,1,-2,0.1,-0.1,1,1,-3,-0.1,1,1,1,100,0,1,66,2,1
6,8,1,24,164,63.55,24,0.32,30,0.072701,29.479,0,-2,0.1,0.1,1,1,-3,0.1,2,1,1,83,1,1,66,2,0
6,3,1,24,164,64.2,24,0.32,30,0.94069,25.046,0,-2,0.1,0.1,1,0.1,1,0.1,0,0,0.1,83,0,0.1,60,2,0
6,5,1,24,164,64,24,0.34,30,0.94069,25.233,1,-2,0.1,0.1,1,0.1,1,0.1,1,0,0.1,67,0,0.1,60,2,0
6,4,1,24,164,62.65,24,0.32,30,0.94069,25.046,0,-1,1,0.1,1,1,0,0.1,1,0,1,100,0,0.1,60,2,0
6,8,1,24,164,63.55,24,0.32,30,0.94069,25.046,-1,-1,0.1,0.1,0,0.1,-1,0.1,1,0,1,100,0,1,60,2,0
6,3,1,24,164,64.2,24,0.32,30,1.8709,23.997,1,-2,0.1,-0.1,1,0.1,2,0.1,0,0,0.1,67,1,0.1,60,2,1
6,4,1,24,164,62.65,24,0.32,30,1.8709,23.997,0,-1,0.1,0.1,0,1,1,1,0,1,1,100,0,0.1,60,2,0
6,8,1,24,164,63.55,24,0.32,30,1.8709,23.997,-1,-1,0.1,0.1,0,1,0,1,0,0,1,100,0,1,60,2,0
6,5,1,24,164,64,24,0.32,30,0.072701,29.479,1,-2,-0.1,-0.1,1,0.1,-3,-1,2,1,0.1,83,0,0.1,66,2,1
6,7,1,24,164,63.05,24,0.32,30,0.072701,29.479,1,-2,0.1,-0.1,0,1,-3,-0.1,2,0,1,100,0,1,66,2,1
6,5,1,24,164,63.95,24,0.32,30,0.072701,29.479,1,-2,0.1,0.1,0,1,-3,-0.1,2,0,1,100,0,1,66,2,0
6,7,1,24,164,63.05,24,0.32,30,0.94069,25.046,0,-1,0.1,0.1,1,0.1,1,0.1,1,0,0.1,67,0,1,60,2,0
6,5,1,24,164,63.95,24,0.32,30,0.94069,25.046,-1,-2,0.1,0.1,0,1,-1,0.1,1,0,1,100,0,1,60,2,0
6,5,1,24,164,64,24,0.32,30,1.8709,23.997,0,-2,0.1,0.1,1,0.1,1,0.1,0,0,0.1,67,1,0.1,60,2,0
6,7,1,24,164,63.05,24,0.32,30,1.8709,23.997,1,-1,1,0.1,0,1,2,1,0,0,1,83,0,1,60,2,0
6,5,1,24,164,63.95,24,0.32,30,1.8709,23.997,-1,-1,0.1,0.1,0,1,1,1,0,0,1,100,0,1,60,2,0
