"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
23,4,2,19,161,88.05,19,0.38,24,0.072701,22.68,0,-1,1,1,-1,-0.1,0,0.1,1,0,0.1,50,0,0.1,85,2,0
23,1,2,19,161,87.5,19,0.38,24,0.072701,22.68,0,0,1,1,0,1,0,1,0,0,1,83,0,1,85,0,0
23,8,2,20,161,88.25,20,0.53,24,0.072701,23.971,0,0,1,1,0,1,0,1,0,0,1,83,0,1,76,0,0
23,4,2,19,161,88.05,19,0.38,24,0.94069,18.769,0,0,1,1,0,1,0,1,0,0,1,83,0,0.1,60,0,0
23,1,2,19,161,87.5,19,0.38,24,0.94069,18.769,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,8,2,20,161,88.25,20,0.53,24,0.94069,20.334,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,5,2,19,161,87.05,19,0.4,24,1.8709,17.679,-1,1,1,1,0,1,1,0.7,-1,0,1,83,0,0.1,60,1,0
23,1,2,19,161,87.5,19,0.38,24,1.8709,17.432,-1,1,1,0.1,0,1,0,0.5,-1,0,1,83,0,1,60,1,0
23,8,2,20,161,88.25,20,0.53,24,1.8709,19.179,-2,1,0.1,0.1,0,1,0,1,-1,0,1,83,0,1,60,1,0
23,5,2,19,161,87.05,19,0.4,24,0.072701,22.847,-1,0,1,1,0,0.5,0,0.5,0,0,1,67,0,0.1,83,0,0
23,4,2,19,161,87.65,19,0.38,24,0.072701,22.68,0,0,1,1,0,1,0,1,0,0,1,83,0,1,85,0,0
23,4,2,20,161,88.1,20,0.54,24,0.072701,24.056,0,0,1,1,0,1,0,1,0,0,1,83,0,1,76,0,0
23,5,2,19,161,87.05,19,0.4,24,0.94069,18.988,0,0,2,1,0,1,2,1,0,0,1,75,0,0.1,60,0,0
23,4,2,19,161,87.65,19,0.38,24,0.94069,18.769,0,0,1,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,4,2,20,161,88.1,20,0.54,24,0.94069,20.433,0,0,2,1,0,1,0,1,0,0,0.1,50,2,1,60,0,0
23,5,2,19,161,87.05,19,0.4,24,1.8709,17.679,-3,-2,0.1,-0.1,0,0.1,3,-0.1,-2,0,0.1,83,0,1,60,2,1
23,4,2,19,161,88.05,19,0.38,24,1.8709,17.432,-1,1,0.1,0.1,0,1,1,0.1,-1,0,0.1,50,1,0.1,60,1,0
23,4,2,19,161,87.65,19,0.38,24,1.8709,17.432,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,4,2,20,161,88.1,20,0.54,24,1.8709,19.288,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,3,2,19,161,88.4,19,0.3,27,0.072701,25.567,0,0,1,1,0,0.1,0,1,1,0,1,83,0,1,71,0,0
23,5,2,19,161,88.4,19,0.3,27,0.072701,25.567,0,0,1,1,0,1,0,1,0,0,1,83,0,1,71,0,0
23,5,2,20,161,88.05,20,0.32,27,0.072701,25.738,0,0,1,1,0,1,0,1,0,0,1,83,0,1,71,0,0
23,3,2,19,161,88.4,19,0.3,27,0.94069,21.559,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,5,2,19,161,88.4,19,0.3,27,0.94069,21.559,0,0,2,1,0,1,0,1,0,0,1,67,0,1,60,0,0
23,5,2,20,161,88.05,20,0.32,27,0.94069,21.752,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,3,2,19,161,88.4,19,0.3,27,1.8709,20.413,0,0,1,1,2,0.1,0,1,0,0,1,83,0,0.1,60,0,0
23,5,2,19,161,88.4,19,0.3,27,1.8709,20.413,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,5,2,20,161,88.05,20,0.32,27,1.8709,20.624,0,0,1,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,6,2,19,161,88.7,19,0.3,27,0.072701,25.567,-1,-1,1,0.1,0,0.1,1,0.1,1,0,0.1,67,0,1,71,2,0
23,7,2,19,161,88.7,19,0.3,27,0.072701,25.567,0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,71,0,1
23,8,2,19,161,87.85,19,0.38,27,0.072701,26.243,0,-1,1,0.1,0,1,0,0.1,1,0,1,83,0,0.1,70,2,0
23,2,2,19,161,87.7,19,0.53,27,0.072701,27.444,0,0,1,1,0,1,0,1,0,0,1,83,0,1,68,0,0
23,6,2,19,161,88.7,19,0.3,27,0.94069,21.559,-2,1,-0.1,0.1,-1,0.2,2,-0.1,-1,0,0.1,67,0,1,60,1,0
23,7,2,19,161,88.7,19,0.3,27,0.94069,21.559,0,0,1,1,2,0.1,0,1,0,0,1,70,0,-0.1,60,0,0
23,8,2,19,161,87.85,19,0.38,27,0.94069,22.315,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,2,2,19,161,87.7,19,0.53,27,0.94069,23.629,0,0,1,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,6,2,19,161,88.7,19,0.3,27,1.8709,20.413,-3,2,1,0.1,-2,-0.1,2,-0.1,-2,0,-0.1,67,0,1,60,1,0
23,7,2,19,161,88.7,19,0.3,27,1.8709,20.413,0,0,1,1,1,0.1,1,1,0,0,1,67,1,1,60,0,0
23,8,2,19,161,87.85,19,0.38,27,1.8709,21.239,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,2,2,19,161,87.7,19,0.53,27,1.8709,22.661,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,3,2,19,161,88.2,19,0.46,30,0.072701,30.504,0,-1,0.1,0.1,0,0.1,0,0.1,1,0,1,83,0,0.1,65,2,0
23,5,2,20,161,88.25,20,0.3,30,0.072701,29.326,0,-1,0.1,0.1,0,1,-2,0.1,2,0,0.1,83,0,1,66,2,0
23,4,2,20,161,87.2,20,0.3,30,0.072701,29.326,0,0,1,1,0,1,0,1,1,0,1,83,0,1,66,0,0
23,3,2,19,161,88.2,19,0.46,30,0.94069,26.334,0,0,1,1,0,1,0,1,0,0,1,83,0,0.1,60,0,0
23,5,2,20,161,88.25,20,0.3,30,0.94069,24.858,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,4,2,20,161,87.2,20,0.3,30,0.94069,24.858,0,0,1,1,0,1,0,1,0,0,1,67,0,1,60,0,0
23,3,2,19,161,88.2,19,0.46,30,1.8709,25.343,0,0,2,1,0,1,0,1,0,0,1,83,0,0.1,60,0,0
23,5,2,20,161,88.25,20,0.3,30,1.8709,23.803,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
23,4,2,20,161,87.2,20,0.3,30,1.8709,23.803,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
