"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
21,1,2,22,166,49.95,22,0.43,24,0.072701,23.111,-1,0,2,1,0,1,0,1,0,0,0.1,83,0,1,81,0,0
21,1,2,22,166,49.45,22,0.5,24,0.072701,23.716,-1,0,1,1,0,1,0,1,0,0,0.1,67,1,1,77,0,0
21,4,2,22,166,50.25,22,0.34,24,0.072701,22.359,0,-1,1,0.1,0,1,-3,0.1,1,0,0.1,17,0,1,89,2,0
21,1,2,22,166,49.95,22,0.43,24,0.94069,19.311,-2,0,0.1,0.1,0,1,1,0.1,-1,0,1,83,0,1,60,0,0
21,1,2,22,166,49.45,22,0.5,24,0.94069,20.035,-2,0,1,0.1,0,1,0,1,0,0,1,83,0,1,60,0,0
21,4,2,22,166,50.25,22,0.34,24,0.94069,18.318,-1,0,2,1,0,1,1,1,0,0,1,83,0,1,60,0,0
21,1,2,22,166,50.55,22,0.57,24,1.8709,19.608,-3,1,-1,-0.1,1,0.1,2,-0.1,-2,0,-0.1,83,1,0.1,60,1,1
21,4,2,22,166,50.25,22,0.34,24,1.8709,16.921,-1,0,1,1,0,1,2,0.1,-1,0,1,83,0,1,60,0,0
21,1,2,22,166,50.55,22,0.51,24,0.072701,23.802,-2,0,1,1,0,0.2,0,1,0,0,-0.1,34,3,0.1,77,0,0
21,1,2,22,166,49.2,22,0.47,24,0.072701,23.459,0,0,2,1,0,1,0,1,0,0,-1,17,3,0.1,79,0,0
21,3,2,22,166,49.9,22,0.36,24,0.072701,22.52,0,-1,1,1,0,1,-2,0.1,1,0,1,83,0,1,89,2,0
21,8,2,22,166,49.75,22,0.36,24,0.072701,22.52,0,-1,1,1,-2,0.1,-2,0.1,1,0,1,83,0,1,89,2,0
21,1,2,22,166,50.55,22,0.51,24,0.94069,20.135,-3,1,0.1,0.1,2,0.1,1,0.1,-1,0,-0.1,67,2,-0.1,60,1,0
21,1,2,22,166,49.2,22,0.47,24,0.94069,19.729,0,0,2,1,0,1,0,1,0,0,0.1,50,3,0.1,60,0,0
21,3,2,22,166,49.9,22,0.36,24,0.94069,18.546,0,0,2,1,2,0.5,0,1,0,0,1,83,0,1,60,0,0
21,8,2,22,166,49.75,22,0.36,24,0.94069,18.546,0,0,1,1,-1,1,0,1,0,0,1,67,0,1,60,0,0
21,1,2,22,166,50.55,22,0.51,24,1.8709,18.96,-1,0,2,0.1,0.4,0.75,0.75,0.8,0,0,0.5,62,0,0.4,60,0,0
21,1,2,22,166,49.95,22,0.43,24,1.8709,18.041,-3,1,-0.1,-0.1,0,0.1,2,-0.1,-2,0,1,83,1,0.1,60,1,1
21,1,2,22,166,49.2,22,0.47,24,1.8709,18.509,-2,1,-0.1,0.1,1,1,2,0.1,-1,0,0.1,67,0,1,60,1,0
21,3,2,22,166,49.9,22,0.36,24,1.8709,17.179,-1,0,2,1,1,1,1,1,0,0,1,83,0,1,60,0,0
21,8,2,22,166,49.75,22,0.36,24,1.8709,17.179,-1,0,1,0.1,1,1,2,0.1,-1,0,1,100,0,1,60,0,0
21,1,2,22,166,50.35,22,0.39,27,0.072701,26.325,-1,0,0.1,0.1,2,-0.1,2,-0.1,0,0,-0.1,34,2,0.1,69,0,0
21,3,2,22,166,49.95,22,0.52,27,0.072701,27.367,0,-1,1,0.1,0,1,-3,-0.1,1,0,1,67,0,1,68,2,0
21,6,2,22,166,49.7,22,0.36,27,0.072701,26.076,0,-1,1,0.1,0,1,0,-0.1,2,0,1,100,0,1,70,2,0
21,1,2,22,166,50.35,22,0.39,27,0.94069,22.407,-1,0,2,1,1,0.1,1,1,0,0,1,67,1,-0.1,60,0,0
21,3,2,22,166,49.95,22,0.52,27,0.94069,23.542,0,0,2,1,0,1,0,1,0,0,1,83,0,1,60,0,0
