"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
24,5,1,22,185,64.8,22,0.34,24,0.072701,22.359,-2,0,2,1,1,0.1,-1,0.1,1,0,1,37,1,0.1,89,0,0
24,2,1,22,185,64.75,22,0.34,24,0.072701,22.359,-1,0,1,0.1,1,0.1,0,0.1,0,0,0.1,34,0,0.1,89,0,0
24,5,1,22,185,65.85,22,0.41,24,0.072701,22.935,-2,0,1,0.1,1,0.1,0,0.1,0,0,0.1,34,0,0.1,82,0,0
24,5,1,22,185,64.8,22,0.34,24,0.94069,18.318,0,1,-0.1,0.1,1,0.1,0,0.1,-2,0,0.1,37,1,0.1,60,1,0
24,2,1,22,185,64.75,22,0.34,24,0.94069,18.318,-1,1,-0.1,-0.1,1,-0.1,1,-0.1,-1,0,-0.1,34,0,0.1,60,1,1
24,5,1,22,185,65.85,22,0.41,24,0.94069,19.097,-1,1,1,0.1,1,0.1,1,0.1,-1,0,0.1,34,0,0.1,60,1,0
24,5,1,22,185,64.8,22,0.34,24,1.8709,16.921,-2,1,0.1,0.1,0,0.1,3,-1,-2,0,0.1,37,1,0.1,60,1,0
24,2,1,22,185,65.3,22,0.34,24,1.8709,16.921,-2,1,0.1,0.1,0,0.1,2,-1,-1,0,0.1,34,1,0.1,60,1,0
24,2,1,22,185,64.75,22,0.34,24,1.8709,16.921,-3,2,-2,-1,1,0.1,3,-1,-2,0,-0.1,34,0,-0.1,60,1,1
24,5,1,22,185,65.85,22,0.41,24,1.8709,17.801,-3,2,-2,-1,1,-0.1,3,-1,-2,0,0.1,34,0,0.1,60,1,1
24,2,1,22,185,65.3,22,0.34,24,0.072701,22.359,-1,0,1,0.1,0,0.1,0,1,0,0,0.1,34,1,0.1,89,0,0
24,2,1,22,185,65.25,22,0.32,24,0.072701,22.196,-1,-1,0.1,0.1,1,0.1,-1,0.1,0,0,0.1,34,0,0.1,89,2,0
24,2,1,22,185,66.25,22,0.34,24,0.072701,22.359,-1,0,1,0.1,-2,0.1,0,1,0,0,1,34,0,0.1,89,0,0
24,2,1,23,185,64.95,23,0.34,24,0.072701,22.359,-2,0,1,0.1,2,0.1,0,1,0,0,0.1,34,0,0.1,89,0,0
24,2,1,22,185,65.3,22,0.34,24,0.94069,18.318,-2,0,1,0.1,0,0.1,0,0.1,0,0,0.1,34,1,0.1,60,0,0
24,2,1,22,185,65.25,22,0.32,24,0.94069,18.087,-1,0,1,0.1,2,0.1,0,1,0,0,0.1,34,0,0.1,60,0,0
24,2,1,22,185,66.25,22,0.34,24,0.94069,18.318,-1,0,1,0.1,1,0.1,0,0.1,1,0,0.1,34,0,0.1,60,0,0
24,2,1,23,185,64.95,23,0.34,24,0.94069,18.318,-1,0,1,0.1,1.5,0.1,0,0.1,0,0,0.1,34,0,0.1,60,0,0
24,2,1,22,185,65.3,22,0.34,24,1.8709,16.921,-3,1,-1,-0.1,0,0.1,2,-0.1,-1,0,-0.1,67,0,0.1,60,1,1
24,2,1,22,185,65.25,22,0.32,24,1.8709,16.658,-1,1,0.1,0.1,2,0.1,1,0.1,-1,0,0.1,34,0,-0.1,60,1,0
24,2,1,22,185,66.25,22,0.34,24,1.8709,16.921,-2,0,1,0.1,2,0.1,1,0.1,-1,0,0.1,34,0,0.1,60,0,0
