"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
11,4,2,20,159,60.85,20,0.42,24,0.072701,23.023,0,0,1,1,1,0.1,0,0.5,0,0,1,83,0,0.1,82,0,0
11,7,2,20,159,60.7,20,0.32,24,0.072701,22.196,0,0,1,0.1,1,0.1,-1,0.1,1,0,0.1,83,0,0.3,89,0,0
11,4,2,20,159,60.85,20,0.42,24,0.94069,19.204,0,0,1,1,0,0.2,0,0.6,0,0,1,83,0,0.1,60,0,0
11,7,2,20,159,60.7,20,0.32,24,0.94069,18.087,-1,0,1,1,0,0.5,1,1,0,0,1,90,0,0.1,60,0,0
11,4,2,20,159,60.85,20,0.42,24,1.8709,17.922,-1,0,1,1,1,0.1,1,0.7,0,0,0.8,83,0,0.1,60,0,0
11,7,2,20,159,60.7,20,0.32,24,1.8709,16.658,-1,0,1,1,1,0.1,1,0.5,0,0,0.7,83,0,0.1,60,0,0
11,3,2,20,159,59.85,20,0.3,24,0.072701,22.032,-1,0,1,1,1,0.1,0,0.3,0,0,1,83,0,1,89,0,0
11,5,2,20,159,60.8,20,0.3,24,0.072701,22.032,0,0,1,0.1,0,0.1,0,0.6,1,0,0.5,83,0,0.1,89,0,0
11,7,2,20,159,61.15,20,0.3,24,0.072701,22.032,0,0,1,1,0,0.1,-1,0.1,1,0,0.6,83,0,0.5,89,0,0
11,1,2,20,159,60.65,20,0.3,24,0.072701,22.032,0,0,1,1,0,0.1,0,0.3,0,0,0.6,83,0,0.1,89,0,0
11,3,2,20,159,59.85,20,0.3,24,0.94069,17.851,-1,0,1,1,1,0.5,1,1,0,0,0.5,83,0,1,60,0,0
11,5,2,20,159,60.8,20,0.3,24,0.94069,17.851,-1,0,1,1,0,0.1,0,1,0,0,0.1,70,0,0.1,60,0,0
11,7,2,20,159,61.15,20,0.3,24,0.94069,17.851,0,0,1,1,1,0.1,1,0.7,0,0,1,83,0,0.1,60,0,0
11,1,2,20,159,60.65,20,0.3,24,0.94069,17.851,0,0,1,1,0.5,0.1,0,0.6,0,0,1,90,0,0.3,60,0,0
11,3,2,20,159,59.85,20,0.3,24,1.8709,16.388,-1,1,-0.1,0.1,1,0.1,1,-0.1,-1,0,0.1,83,0,1,60,1,0
11,5,2,20,159,60.8,20,0.3,24,1.8709,16.388,-1,0,1,1,2,-0.1,1,1,0,0,1,83,0,-0.1,60,0,0
11,7,2,20,159,61.15,20,0.3,24,1.8709,16.388,0,0,1,1,1,0.1,0,0.7,0,0,0.8,83,0,0.1,60,0,0
11,1,2,20,159,60.65,20,0.3,24,1.8709,16.388,-1,0,1,1,0,0.1,1,0.7,0,0,0.7,85,0,0.2,60,0,0
11,3,2,20,159,61.45,20,0.62,27,0.072701,28.125,0,0,1,1,1,1,0,0.6,1,0,0.1,67,0,0.1,67,0,0
