"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
20,2,1,23,173,60.35,23,0.33,24,0.072701,22.278,-1,0,1,0.1,-1,0.5,-1,0.5,1,0,0.5,67,0,1,89,0,0
20,5,1,23,173,60.5,23,0.42,24,0.072701,23.023,1,-1,0.1,0.1,-1,0.4,-1,0.5,1,0,0.3,67,0,1,82,2,0
20,7,1,23,173,60.15,23,0.53,24,0.94069,20.334,0,0,1,1,0,1,-1,1,1,0,1,83,0,1,60,0,0
20,2,1,23,173,60.35,23,0.33,24,0.94069,18.203,0,0,1,1,0,1,0,1,0,0,0.7,83,0,1,60,0,0
20,5,1,23,173,60.5,23,0.42,24,0.94069,19.204,0,0,1,1,0,1,0,1,0,0,0.8,83,0,1,60,0,0
20,5,1,23,173,60.5,23,0.42,24,1.8709,17.922,-1,1,0.1,0.1,2,0.5,2,0.4,-1,0,1,100,0,0.5,60,1,0
20,6,1,23,173,60.55,23,0.42,24,0.072701,23.023,0,1,1,1,0.5,1,-1,1,1,0,1,90,0,1,82,1,0
20,2,1,23,173,58.85,23,0.33,24,0.072701,22.278,0,0,1,1,0,1,0,1,0,0,1,75,0,1,89,0,0
20,6,1,23,173,59.95,23,0.51,24,0.072701,23.802,0,0,1,1,0,1,0,1,0,0,1,75,0,1,77,0,0
20,6,1,23,173,60.55,23,0.42,24,0.94069,19.204,0,1,1,1,0.5,1,1,1,-1,0,1,100,0,1,60,1,0
20,2,1,23,173,58.85,23,0.33,24,0.94069,18.203,0,0,1,1,0,1,0,1,0,0,0.7,83,0,1,60,0,0
20,6,1,23,173,59.95,23,0.51,24,0.94069,20.135,-2,1,0.1,0.1,2,0.4,2,0.5,-1,0,1,100,0,0.5,60,1,0
20,7,1,23,173,60.15,23,0.53,24,1.8709,19.179,0,-1,1,1,-0.5,1,1,1,-0.5,0,1,83,0,1,60,2,0
20,6,1,23,173,60.55,23,0.42,24,1.8709,17.922,-1,1,0.1,0.1,1,0.5,2,0.3,-1.5,0,0.5,100,0,0.5,60,1,0
20,2,1,23,173,58.85,23,0.33,24,1.8709,16.79,-1,1,0.1,0.1,2,0.6,2,0.4,-1,0,1,100,0,0.5,60,1,0
20,6,1,23,173,59.95,23,0.51,24,1.8709,18.96,-1,1,0.1,0.1,1,0.6,1,0.5,-1,0,0.7,83,0,0.8,60,1,0
20,5,1,23,173,59.85,23,0.5,27,0.072701,27.211,0,-1,1,1,0,1,-1,0.5,1,0,0.5,50,0,1,68,2,0
20,4,1,23,173,59.8,23,0.33,27,0.072701,25.823,1,-1,0.1,0.1,-1,0.5,-1,0.4,1,0,0.3,67,0,1,70,2,0
20,1,1,23,173,60.15,23,0.35,27,0.072701,25.992,1,-1,0.1,0.1,-2,0.5,-2,0.5,1,0,0.3,67,0,1,70,2,0
20,5,1,23,173,59.85,23,0.5,27,0.94069,23.367,0,1,1,1,1,1,0,1,0,0,1,83,0,1,60,1,0
20,4,1,23,173,59.8,23,0.33,27,0.94069,21.847,0,0,1,1,0,1,0,1,0,0,0.7,83,0,1,60,0,0
20,1,1,23,173,60.15,23,0.35,27,0.94069,22.036,0,0,1,1,0,1,0,1,0,0,0.8,83,0,1,60,0,0
