"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
25,5,1,24,169,74.15,24,0.43,24,0.072701,23.111,0,1,2,1,0,1,0,1,0,0,1,100,0,1,81,1,0
25,4,1,24,169,74.1,24,0.32,24,0.072701,22.196,0,0,2,1,0,1,0,1,0,0,1,100,0,1,89,0,0
25,1,1,24,169,76.15,24,0.5,24,0.072701,23.716,0,0,2,1,0,1,0,1,0,0,1,100,0,1,77,0,0
25,5,1,24,169,74.15,24,0.43,24,0.94069,19.311,-3,1,2,1,0,1,0,1,-1,0,1,100,0,1,60,1,0
25,4,1,24,169,74.1,24,0.32,24,0.94069,18.087,0,0,2,1,1,1,1,1,0,0,1,100,0,-0.1,60,0,0
25,1,1,24,169,76.15,24,0.5,24,0.94069,20.035,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,4,1,24,169,74.1,24,0.32,24,1.8709,16.658,-3,2,-1,-1,2,0.1,3,-0.1,-2,0,1,100,0,0.1,60,1,1
25,1,1,24,169,76.15,24,0.5,24,1.8709,18.848,-3,1,0.1,0.1,1,1,2,0.1,-1,0,0.1,100,0,1,60,1,0
25,8,1,24,169,74.45,24,0.32,24,0.072701,22.196,0,0,2,1,0,1,0,1,0,0,1,100,0,1,89,0,0
25,4,1,24,169,74.35,24,0.32,24,0.072701,22.196,0,0,2,1,0,1,0,1,0,0,1,100,0,1,89,0,0
25,8,1,24,169,74.45,24,0.32,24,0.94069,18.087,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,4,1,24,169,74.35,24,0.32,24,0.94069,18.087,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,5,1,24,169,74.5,24,0.45,24,1.8709,18.277,-3,1,1,1,2,1,3,1,0,0,1,100,0,-0.1,60,1,0
25,8,1,24,169,74.45,24,0.32,24,1.8709,16.658,-3,1,1,1,0,1,3,1,-1,0,1,100,0,1,60,1,0
25,4,1,24,169,74.35,24,0.32,24,1.8709,16.658,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,6,1,24,169,74.65,24,0.41,27,0.072701,26.49,0,0,2,1,0,1,0,1,0,0,1,100,0,1,69,0,0
25,7,1,24,169,74.65,24,0.41,27,0.072701,26.49,-1,0,2,1,0,1,0,1,0,0,1,100,0,1,69,0,0
25,3,1,24,169,74.5,24,0.5,27,0.072701,27.211,0,-1,1,0.1,1,0.1,-3,0.1,1,0,1,100,0,1,68,2,0
25,6,1,24,169,74.65,24,0.41,27,0.94069,22.588,0,0,2,1,1,1,1,0.1,0,0,1,100,0,1,60,0,0
25,7,1,24,169,74.65,24,0.41,27,0.94069,22.588,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,3,1,24,169,74.5,24,0.5,27,0.94069,23.367,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,6,1,24,169,74.65,24,0.41,27,1.8709,21.537,-2,0,2,1,2,0.1,2,1,0,0,1,100,0,0.1,60,0,0
25,7,1,24,169,74.65,24,0.41,27,1.8709,21.537,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,3,1,24,169,74.5,24,0.5,27,1.8709,22.398,0,-1,2,1,2,1,0,1,0,0,0.1,83,0,0.1,60,2,0
25,6,1,24,169,75.05,24,0.43,27,0.072701,26.653,2,-1,-0.1,-1,2,-0.1,-3,-1,2,0,-1,0,3,-0.1,69,2,1
25,6,1,24,169,74.65,24,0.41,27,0.072701,26.49,0,0,2,1,0,1,0,1,1,0,1,100,0,1,69,0,0
25,4,1,24,169,74.3,24,0.32,27,0.072701,25.738,0,0,2,1,0,1,0,1,0,0,1,100,0,1,71,0,0
25,6,1,24,169,75.05,24,0.43,27,0.94069,22.752,-1,0,2,1,1,1,1,1,0,0,1,100,0,1,60,0,0
25,6,1,24,169,74.65,24,0.41,27,0.94069,22.588,0,0,2,1,1,1,0,1,0,0,1,100,0,1,60,0,0
25,4,1,24,169,74.3,24,0.32,27,0.94069,21.752,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,6,1,24,169,75.05,24,0.43,27,1.8709,21.733,-1,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,6,1,24,169,74.65,24,0.41,27,1.8709,21.537,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,4,1,24,169,74.3,24,0.32,27,1.8709,20.624,0,0,2,1,0,1,0,1,0,0,1,100,0,1,60,0,0
25,6,1,24,169,75.15,24,0.41,30,0.072701,30.147,2,-2,-1,-0.1,-1,-0.1,-3,-1,2,2,-1,0,2,0.1,65,2,1
