"Rdissatisfied","Rdissatisfied_true_TP","Rdissatisfied_true_TP_AMP","Eall","Npresent","Nsatisfied_ave_all_sim","Nsatisfied_ave_all_eval1","Nsatisfied_ave_all_eval2","ta","Eplant_target","Eahu_target","Ecfan","Eplant","Qcoil","Qmid1","Qmid2","Qmid3","Qmid4","Qmidn","Qmide","Qmids","Qmidw","V23","V24","V25","V26"
0.0465116279069767,0.0348837209302325,0.0465116279069767,19.9963442699397,86,82,83,82,617.347798869735,16.906946399381,2.78939787055874,0.3,3102.00688687178,14000.9132742319,76.2693631131921,80.3380253807003,79.8531081672954,79.1606553965035,134.856421477869,118.032967993066,140.44776787152,113.321745365735,22,33,22,14
NA,NA,NA,1.57873196054879,0,0,0,0,24.3442180764251,1.3712381992608,0.207493761287992,0,215.839553138045,978.40814701289,6.21587010418792,6.31089295825303,6.26307328323122,6.04438666124088,8.36225918930695,7.8611433321701,9.00112187656529,7.39116917273343,0,0,0,0
0,0,0,1.06441220890668,4,4,4,4,26.5515325955654,0.894197171606763,0.13921503729992,0.031,186.360999762769,844.062641820556,4.04998056425784,4.05598943749858,3.95383859240602,4.00190957833193,9.10344295971902,7.10248817055306,10.046836058515,6.94024859305312,2,3,4,0
0,0,0,1.9312591774416,9,9,9,9,24.4940451936672,1.65433032518781,0.243928852253791,0.033,322.994304072027,1480.55524698365,7.58319082510751,9.21112576007624,9.3117214765108,9.08826914086677,13.6892822272124,12.7527819774142,13.7144328455733,11.8189978762598,3,4,2,1
0.2,0.2,0.2,1.02956436856583,5,4,4,4,26.6892185210361,0.867882481100101,0.135681887465727,0.026,184.799111346051,840.10838016615,3.94544833068086,4.34939393900562,4.37385732786238,4.22794329212444,8.86847807267285,6.91916903095664,9.78752167492344,6.76111694649317,2,3,0,3
0,0,0,2.29217018788541,12,12,12,12,24.6533121369749,1.96340457584998,0.302765612035428,0.026,358.805297071812,1524.65056931382,8.34298135727884,8.40209878260859,8.39072845964773,8.33310392733177,15.1350885175548,13.4673654727731,15.071213307353,12.6209587133072,3,3,2,0
0.111111111111111,0.111111111111111,0.111111111111111,1.12150829854632,9,8,8,8,26.3585972977144,0.949293261246402,0.13921503729992,0.033,197.789061374972,916.961806194958,4.40097979832646,4.40750944194416,4.29650550044334,4.3487426493849,9.892410080808,7.71803875611555,10.9175641287861,7.54173837843778,2,4,1,3
0,0,0,2.89597398877988,10,10,10,10,24.2727733281655,2.37877546987013,0.484198518909749,0.033,390.896565955361,1717.6558654609,10.4526823571623,10.7053881256817,10.6339029181166,10.8881151365996,15.3115044214772,14.3614083273606,15.3013225044328,13.5974391178717,3,4,2,1
0.0833333333333334,0,0.0833333333333334,2.60830235156118,12,11,12,11,24.4255261080357,2.15055018941771,0.431752162143464,0.026,374.088872555952,1632.58327330416,9.38534269585717,9.87832366054423,9.86844706849791,9.74466175866003,15.1155090654884,13.5595433208076,14.9866066165683,13.6823518861111,3,3,2,0
0.125,0.125,0.125,1.09349416904341,8,7,7,7,26.812193369332,0.909279131743491,0.13921503729992,0.045,189.429427439114,868.87493491143,4.17068169972631,4.17686965477041,4.07167441902064,4.12117805937347,9.37475189181804,7.3141628621313,10.3462608337424,7.14708807594049,3,3,4,3
0,0,0,1.96676026185333,12,12,12,12,24.585281712952,1.68213646695083,0.261623794902491,0.023,282.093670937437,1352.15482316179,8.06295628485881,8.90916503633423,8.91323107433855,8.72942644331564,11.6615635166801,11.2219415901433,11.8372475449799,10.2719869613013,0,4,2,1
0,0,0,1.04979063173249,5,5,5,5,25.7303598860048,0.886575594432569,0.13921503729992,0.024,184.709082481544,838.643306986803,4.02536073710947,4.03133308241675,3.92980321219292,3.97758197465119,9.04810314053537,7.05931215320978,9.98576135377897,6.89805882991311,1,2,3,2
NA,NA,NA,1.36437666507478,0,0,0,0,24.120336948319,1.19928353271436,0.16509313236042,0,214.200940736701,1006.25427891484,5.63388835863861,5.89993550156671,5.84632483502723,5.65533677462288,9.29402839459545,8.69561299943124,9.45187912630174,8.65059081431338,0,0,0,0
