Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
23.5,4,1.37,50,23.5,18.05962121,0.018057995,0.04842413,0.00010607799,0.47793198,0.2940357,0.033313688,0.0020645678,0.1333422,0.008622596,0.2503045,0.046267085,0.6989421,0.9922745,1.8771714e-05,0.981373,0.3553617,0.932896,0.0049761157
23.5,5,1.87,50,23.5,17.46464671,0.0072630877,0.14722896,0.0003364484,0.33168462,0.41396663,0.18560852,0.0012763718,0.10107401,0.096783884,0.33290607,0.05113011,0.15237466,0.9910252,3.708287e-05,0.53884506,0.023784999,0.121851385,0.042098153
24.0,0,0.07,50,24.0,22.4844195,0.980921,0.95617414,0.98183626,0.16827053,0.9588455,0.985627,0.9672899,0.95151526,0.97124213,0.5437633,0.51377344,0.9823392,0.23158526,0.0020056847,0.99441844,0.20325315,0.9877559,0.7908837
24.0,1,0.29,50,24.0,21.81924277,0.99999124,0.9998824,0.0007258757,0.10549199,0.9999911,0.9999301,0.99998516,0.9593561,0.9996718,0.99541354,0.71621186,0.99999183,0.62986124,0.2446608,0.9998698,0.24241908,0.9999998,0.9996254
24.0,2,0.58,50,24.0,20.37657244,0.9979664,0.9416174,3.843718e-06,0.78444844,0.9979776,0.5437413,0.9995579,0.69156194,0.026347268,0.8569731,0.7831223,0.9894386,0.90922946,0.0014809077,0.99969625,0.0034975586,0.99942577,0.053652503
24.0,3,0.94,50,24.0,19.39805314,0.3861605,0.62323594,8.389026e-06,0.75716794,0.9964493,0.99370635,0.9950022,0.99393106,0.0010779534,0.6493949,0.1829102,0.98407906,0.9891052,0.0001294821,0.9997463,0.70597297,0.9994835,0.00018184446
24.0,4,1.37,50,24.0,18.66690566,0.4011539,0.10204693,0.00010230737,0.5321134,0.5321009,0.10699904,0.0071304096,0.6741743,0.014351073,0.30710736,0.055947945,0.862642,0.99091756,2.828307e-05,0.99554986,0.4473853,0.9888399,0.006037407
24.0,5,1.87,50,24.0,18.09189818,0.009050838,0.23417938,0.00035571406,0.37304398,0.65504473,0.53611183,0.0014704557,0.46257526,0.10129875,0.36579314,0.058488734,0.22009213,0.98976606,4.489758e-05,0.6577541,0.024583187,0.31602615,0.04377882
24.5,0,0.07,50,24.5,22.9939457,0.9816775,0.9583551,0.98179644,0.04779966,0.9628019,0.94000846,0.90147,0.9790008,0.9776805,0.33612972,0.3453995,0.9859457,0.18632768,0.00094583444,0.99518466,0.22701463,0.99521476,0.9216562
24.5,1,0.29,50,24.5,22.33087837,0.99995583,0.9997128,0.034126002,0.007723323,0.99990636,0.99936,0.99996597,0.9986584,0.9998667,0.8971386,0.30313578,0.99991375,0.35100493,0.2773881,0.9940922,0.8714374,0.9999998,0.99990696
