N,mean_acceptance_avg,Eall_sum
2,0.452601259,213.4004043
4,0.460278615,213.2510834
6,0.475167771,213.4014573
8,0.47622297,212.9689513
10,0.536420355,206.841212
12,0.602205316,198.2834402
14,0.605379919,198.259887
16,0.605379919,198.259887
18,0.635904943,192.7346984
20,0.625550397,192.3998745
