Tair,FanMode,Velocity,Humidity,Globe Temperature,SET*,2,3,5,6,7,9,12,13,14,16,17,18,19,20,23,24,25,26
23.5,3,0.94,50,23.5,18.81368418,0.181243053,0.287493466,0.013151881,0.541627039,0.618919752,0.403274532,0.415946836,0.383234736,0.190892777,0.280955194,0.435277591,0.586505604,0.709905342,0.343168124,0.670078963,0.449516266,0.645518262,0.226689804
23.5,4,1.37,50,23.5,18.05962121,0.055190705,0.17257547,0.004470212,0.428379528,0.512443469,0.232051785,0.349849148,0.231384197,0.104338369,0.154173025,0.323850551,0.398961402,0.671949294,0.319897733,0.554700354,0.42434199,0.545200101,0.146306166
23.5,5,1.87,50,23.5,17.46464671,0.020008483,0.110251538,0.001899275,0.305170201,0.427119351,0.136929012,0.301345215,0.144590442,0.062532795,0.090462948,0.247095697,0.263427505,0.639689822,0.301824702,0.455778201,0.402288517,0.462557898,0.100875958
24,0,0.07,50,24,22.4844195,0.962578799,0.900862164,0.620016064,0.327244637,0.925933309,0.66073678,0.709790506,0.703059882,0.817993846,0.658214047,0.639501198,0.841512762,0.327540136,0.435980147,0.870890767,0.460970918,0.887787976,0.779293781
24,1,0.29,50,24,21.81924277,0.966112034,0.845359017,0.467001197,0.39385923,0.900050498,0.739689088,0.676797703,0.763786418,0.763325627,0.719919499,0.711604727,0.860770431,0.570351526,0.426033951,0.874681016,0.478739522,0.881892601,0.704560217
24,2,0.58,50,24,20.37657244,0.776839587,0.612811431,0.111952334,0.532408952,0.799913371,0.732223143,0.559515413,0.704769083,0.499958345,0.624859193,0.657074473,0.831498227,0.758704952,0.390424347,0.829001694,0.483597536,0.80789812,0.470510062
24,3,0.94,50,24,19.39805314,0.383263597,0.402209545,0.03001757,0.571695164,0.694685306,0.550847477,0.469429959,0.51747136,0.289192484,0.410614899,0.525175105,0.709666443,0.735606786,0.361207622,0.743856463,0.465781539,0.715029826,0.307575367
24,4,1.37,50,24,18.66690566,0.145883335,0.261916097,0.010669173,0.52584966,0.59875105,0.366655411,0.402760557,0.350739834,0.170591781,0.252129565,0.412794193,0.551138267,0.70284683,0.338623841,0.649135169,0.444933888,0.626745936,0.208902299
24,5,1.87,50,24,18.09189818,0.058240883,0.176646315,0.004682329,0.434618213,0.517096548,0.238313703,0.352583265,0.236984639,0.107197927,0.158499015,0.328348378,0.406953206,0.673649191,0.3208876,0.559961224,0.425492847,0.549647322,0.149199915
24.5,0,0.07,50,24.5,22.9939457,0.936792153,0.922761114,0.666711026,0.279811042,0.937064289,0.57933383,0.711438022,0.62867123,0.830744093,0.580148867,0.540983961,0.818477284,0.168105802,0.439005827,0.859565336,0.440480158,0.877803176,0.81501973
24.5,1,0.29,50,24.5,22.33087837,0.966268519,0.890829077,0.593267455,0.342242194,0.921052079,0.682210285,0.704478777,0.721164414,0.809394228,0.677164485,0.662333446,0.847156689,0.385118455,0.434216107,0.87292634,0.465989045,0.888207178,0.764700182
24.5,2,0.58,50,24.5,20.92809918,0.899698238,0.718968409,0.215370767,0.484012631,0.845730779,0.770402316,0.608137412,0.761033606,0.619062733,0.701021965,0.705299338,0.85835306,0.739432908,0.405579059,0.856481053,0.486766735,0.845428338,0.566693812
24.5,3,0.94,50,24.5,19.97450335,0.632119361,0.52694797,0.066217296,0.558456717,0.76031669,0.673646537,0.52275648,0.63878059,0.409448037,0.5441853,0.60796033,0.794373469,0.754228279,0.378669049,0.79990378,0.477955865,0.773657901,0.400750562
24.5,4,1.37,50,24.5,19.26493094,0.329416857,0.374552001,0.024908644,0.5692251,0.678159438,0.518058014,0.457145869,0.486953225,0.26440892,0.379571995,0.50489232,0.68463403,0.73017291,0.357114755,0.728497473,0.462385092,0.700012768,0.287796486
24.5,5,1.87,50,24.5,18.70872402,0.155331892,0.269051897,0.011325067,0.53068673,0.604534817,0.37698437,0.40650424,0.359890381,0.176196189,0.260150623,0.41917613,0.561339734,0.704877018,0.339918369,0.655190723,0.446257262,0.632140274,0.213863517
25,0,0.07,50,25,23.50502761,0.883253055,0.926643933,0.658938723,0.236521278,0.938782075,0.488323096,0.674844131,0.538201965,0.8218271,0.487095282,0.420743035,0.789573002,0.074697622,0.436781935,0.841632279,0.414427611,0.852655137,0.829554181
25,1,0.29,50,25,22.82771733,0.947726396,0.917531263,0.658316714,0.294853087,0.934339521,0.607318444,0.714159405,0.655089903,0.829126583,0.607789068,0.57645938,0.826673678,0.213073168,0.438537211,0.864006955,0.447798632,0.882591977,0.805589857
25,2,0.58,50,25,21.472584,0.953215846,0.803440243,0.363865471,0.429492484,0.881678392,0.763565697,0.652218687,0.775178533,0.716409652,0.727846977,0.721845452,0.864507712,0.662892969,0.418843235,0.871070853,0.483937008,0.871377839,0.655017211
25,3,0.94,50,25,20.54250534,0.822936577,0.646547739,0.137646396,0.519019994,0.814725726,0.748833801,0.574426011,0.726092824,0.537067752,0.652560756,0.674277854,0.842213348,0.756924533,0.395123124,0.838723102,0.485140431,0.820354464,0.499681184
25,4,1.37,50,25,19.85306467,0.58110376,0.500430647,0.056215654,0.564009387,0.747335948,0.651136714,0.51154461,0.615359867,0.38273707,0.517035281,0.591473937,0.779738222,0.75118512,0.375037672,0.789517619,0.4757638,0.762214228,0.380267045
25,5,1.87,50,25,19.31450558,0.349038986,0.384767043,0.026704042,0.570425436,0.68436912,0.530389551,0.461715837,0.498368338,0.273482339,0.391070922,0.512474551,0.694186977,0.732231873,0.358640668,0.734321049,0.463673054,0.705665725,0.295074289
25.5,0,0.07,50,25.5,24.01821575,0.789414122,0.908816652,0.615843762,0.197864436,0.926603453,0.395847965,0.582115418,0.44076561,0.794174706,0.390260637,0.301169449,0.755471855,0.03074217,0.428105823,0.817471936,0.383625978,0.809493597,0.82040268
25.5,1,0.29,50,25.5,23.32694447,0.905786172,0.927481174,0.666625248,0.251078235,0.93946084,0.520574221,0.693177023,0.570965988,0.827192376,0.520470472,0.463686064,0.800249786,0.10021976,0.438227947,0.848595583,0.424083032,0.863304198,0.827048542
25.5,2,0.58,50,25.5,22.00896573,0.968481767,0.864439117,0.519377717,0.374489561,0.908681354,0.721170613,0.688525545,0.75136708,0.783612435,0.708060269,0.698208195,0.856733449,0.506022054,0.429444423,0.87496871,0.474724631,0.885562488,0.728817319
25.5,3,0.94,50,25.5,21.10145941,0.922456859,0.748279804,0.258523381,0.467069173,0.858148036,0.772693369,0.622718172,0.769959535,0.652851923,0.7149345,0.714421037,0.862172826,0.723045761,0.410021136,0.862391361,0.486544673,0.854908936,0.595894776
25.5,4,1.37,50,25.5,20.43102963,0.79288881,0.624025434,0.119899421,0.528154059,0.804873085,0.738168637,0.564430068,0.712171498,0.512204372,0.634364566,0.66294501,0.835289552,0.758413473,0.39197777,0.832335342,0.48415709,0.81209543,0.480081001
25.5,5,1.87,50,25.5,19.90867457,0.604758928,0.512583769,0.060607522,0.561622767,0.753338082,0.661702704,0.516682709,0.626261102,0.394903566,0.529584714,0.599102917,0.786647478,0.752653312,0.376704443,0.794367315,0.476794068,0.767516705,0.38960129
26,0,0.07,50,26,24.53324108,0.648197851,0.861419178,0.553297898,0.164026447,0.892031663,0.309312148,0.43615516,0.345827674,0.750230044,0.299517416,0.200730826,0.716702051,0.01221234,0.411989829,0.787380278,0.349291522,0.746109614,0.784968409
26,1,0.29,50,26,23.82854459,0.829498554,0.918335114,0.634733577,0.211576236,0.933154253,0.429651161,0.623493799,0.476927329,0.806401707,0.42576626,0.34385072,0.768630472,0.042909178,0.432130538,0.82709603,0.395479249,0.827694152,0.82670936
26,2,0.58,50,26,22.50092064,0.962079022,0.901844675,0.622536706,0.325650201,0.926417832,0.658331031,0.710253889,0.700982871,0.818780978,0.656032667,0.636837397,0.840867997,0.321508935,0.436148202,0.870632743,0.46039914,0.887675253,0.780760673
26,3,0.94,50,26,21.65035065,0.961370718,0.826091213,0.417224239,0.411216621,0.891524563,0.75302695,0.665261804,0.771221755,0.742044701,0.726092703,0.718819093,0.863222976,0.619889831,0.422673708,0.873436868,0.481613304,0.877371971,0.681209467
26,4,1.37,50,26,20.99786431,0.909616812,0.731025056,0.232161127,0.477260588,0.850839395,0.771854351,0.614055974,0.765130841,0.632937268,0.707224517,0.709365742,0.860121904,0.733602006,0.407388413,0.859008015,0.486751155,0.849378667,0.578540682
26,5,1.87,50,26,20.49091151,0.809496115,0.636199933,0.129180626,0.523314748,0.810215719,0.744148913,0.569811015,0.719857543,0.525601063,0.644355547,0.669150578,0.839145759,0.757771684,0.393673352,0.835838976,0.484712715,0.816587746,0.490611234
26.5,0,0.07,50,26.5,25.04991076,0.474391799,0.774350483,0.481842145,0.134905108,0.822362334,0.233917565,0.277566928,0.260979117,0.692313786,0.221452579,0.126708507,0.673785852,0.004774212,0.387975802,0.751646231,0.312875915,0.66256791,0.721728323
26.5,1,0.29,50,26.5,24.33221479,0.708601268,0.884070281,0.579226408,0.176648834,0.90891411,0.341955971,0.497533134,0.382000644,0.769158375,0.333668878,0.23689293,0.732342757,0.017549922,0.419203595,0.799801771,0.363010197,0.77329821,0.80205429
26.5,2,0.58,50,26.5,22.98664822,0.937329973,0.922570801,0.666470421,0.280461953,0.936964568,0.580585359,0.711636901,0.629868773,0.830722159,0.581398103,0.542595786,0.818850159,0.169921368,0.438996648,0.859775045,0.440813914,0.878046319,0.814652559
26.5,3,0.94,50,26.5,22.18229568,0.968222373,0.879564563,0.56193652,0.357007136,0.915698385,0.701285792,0.697827861,0.736468297,0.798824345,0.693005419,0.680946662,0.851975898,0.441783401,0.432184049,0.874252594,0.470322291,0.887563214,0.74900018
26.5,4,1.37,50,26.5,21.55288998,0.957340242,0.813975924,0.387950411,0.421243239,0.886238338,0.759268062,0.658213787,0.773893325,0.728395479,0.727672513,0.721040948,0.864101473,0.644656661,0.420608767,0.872277271,0.482975418,0.874240507,0.667042746
26.5,5,1.87,50,26.5,21.06032424,0.917616184,0.741522511,0.247858611,0.471137436,0.855285375,0.772546002,0.619297614,0.768221216,0.645046938,0.71208834,0.712558044,0.861438417,0.727522787,0.408983738,0.86110006,0.486653153,0.852761169,0.58904049
27,0,0.07,50,27,25.56822788,0.306046493,0.643265483,0.408419254,0.11019606,0.705848985,0.172072904,0.153256215,0.190498884,0.623140045,0.158782163,0.07700915,0.62733615,0.001851276,0.356430749,0.710633311,0.275879097,0.562855513,0.632447081
27,1,0.29,50,27,24.83819438,0.547347502,0.815346971,0.511668026,0.146272998,0.856028201,0.263219886,0.340492879,0.294140061,0.717554128,0.251621829,0.153806285,0.691820362,0.007021722,0.398759811,0.766937029,0.327938634,0.699053313,0.750971579
27,2,0.58,50,27,23.47557613,0.887301041,0.926954502,0.66052264,0.238888731,0.939000934,0.49367455,0.678337916,0.543686715,0.822873002,0.492654814,0.427858639,0.791381601,0.078469578,0.437073626,0.842835486,0.41606454,0.854562746,0.829334714
27,3,0.94,50,27,22.66082307,0.95615137,0.910414359,0.643373463,0.310388968,0.930699665,0.634124484,0.713508332,0.67961597,0.825069635,0.633561942,0.609029202,0.834253736,0.26550687,0.437547305,0.867746988,0.454535139,0.885879089,0.793927268
27,4,1.37,50,27,22.09444723,0.96863056,0.872169394,0.541105523,0.36583696,0.91224545,0.711699087,0.693301197,0.744429633,0.791507227,0.701117012,0.690297658,0.854508339,0.474792235,0.430842944,0.874729594,0.472641373,0.886713985,0.739015645
27,5,1.87,50,27,21.61614394,0.960071582,0.821922573,0.406965186,0.414736461,0.889699967,0.755342731,0.662818144,0.772296719,0.737367208,0.72681588,0.719757228,0.863577981,0.628910252,0.421958982,0.87306739,0.482115891,0.876315991,0.676292476
27.5,0,0.07,50,27.5,26.08812818,0.176965367,0.481884063,0.337844179,0.089485358,0.545999813,0.123786108,0.076906994,0.135361637,0.546222386,0.111142112,0.04565476,0.578130853,0.000714363,0.318723413,0.664877675,0.239692726,0.455278291,0.524356268
27.5,1,0.29,50,27.5,25.34640368,0.374685118,0.704353529,0.439707104,0.120246124,0.76173968,0.196812153,0.200464063,0.218747231,0.653890499,0.183662915,0.095636443,0.647584005,0.002777847,0.370776095,0.728786309,0.291675961,0.607024468,0.673485028
27.5,2,0.58,50,27.5,23.96673525,0.800947966,0.91177332,0.621252214,0.201519136,0.928654882,0.404950051,0.594147029,0.450559374,0.797715805,0.399825656,0.312507246,0.759105543,0.033670089,0.429296683,0.820163284,0.386892322,0.814702399,0.822463211
27.5,3,0.94,50,27.5,23.14744484,0.924139659,0.925913732,0.669245165,0.266327344,0.938711442,0.552602266,0.705367789,0.602764488,0.830195321,0.553224627,0.506134924,0.810365403,0.133260598,0.438944779,0.854846412,0.433201129,0.871962384,0.821725742
27.5,4,1.37,50,27.5,22.57656696,0.959523556,0.906113182,0.633203726,0.318386753,0.928537672,0.647075623,0.712083235,0.691149589,0.822056012,0.645695395,0.624124173,0.837820634,0.294415398,0.436862756,0.869354079,0.45769781,0.886986115,0.787228042
27.5,5,1.87,50,27.5,22.14850264,0.968445714,0.87678517,0.5541144,0.36039566,0.914395331,0.705370689,0.696134973,0.739628834,0.796104538,0.69623996,0.684690136,0.852978811,0.454562865,0.431680015,0.874463502,0.471235761,0.887277087,0.745219907
28,0,0.07,50,28,26.60971049,0.094682787,0.322512143,0.27336874,0.072299877,0.372693231,0.087509916,0.036558478,0.094195009,0.465819101,0.076389059,0.026637285,0.527096291,0.000274597,0.277102791,0.615124585,0.205450331,0.350405996,0.409819219
28,1,0.29,50,28,25.85691342,0.22836622,0.555526056,0.368611401,0.098224102,0.621047956,0.143643178,0.105401856,0.158016562,0.581097463,0.130567483,0.057733063,0.600279149,0.001091187,0.336112117,0.685752071,0.255592342,0.503386707,0.574004782
28,2,0.58,50,28,24.46093062,0.670612608,0.870232369,0.562798466,0.168481495,0.898670916,0.32086312,0.45863383,0.35867245,0.757288435,0.311584703,0.213263866,0.722400268,0.013917256,0.414722513,0.791946398,0.354265442,0.756248381,0.791600735
28,3,0.94,50,28,23.63717371,0.863413362,0.924367092,0.650467387,0.226096125,0.937231972,0.464292506,0.656789926,0.513350559,0.816384275,0.462047421,0.388942728,0.781253934,0.059721328,0.435207766,0.835985034,0.406896094,0.843359387,0.829568398
28,4,1.37,50,28,23.06578178,0.931196149,0.924439748,0.668485561,0.273451012,0.937943954,0.566915372,0.709057531,0.616712339,0.830725374,0.567695604,0.524886479,0.814744347,0.151009419,0.439038348,0.857429776,0.437134681,0.875243941,0.81840111
28,5,1.87,50,28,22.63639023,0.957187695,0.909216101,0.640608979,0.312697884,0.930094622,0.637923109,0.713165197,0.683021772,0.824263669,0.637144965,0.613504764,0.835306469,0.27373745,0.437361158,0.868232675,0.455468865,0.886237471,0.792039876
28.5,0,0.07,50,28.5,27.1328243,0.048310956,0.195321862,0.216933709,0.058166333,0.225747118,0.061056208,0.016898979,0.06453543,0.386518988,0.05180568,0.015385558,0.47530875,0.000105227,0.234324439,0.562383308,0.173981862,0.257584772,0.302547512
28.5,1,0.29,50,28.5,26.36973027,0.127176848,0.393234632,0.302098217,0.079792868,0.45131521,0.102827921,0.051702297,0.111528934,0.502920861,0.090935309,0.034176978,0.550718608,0.000426348,0.296551785,0.638434641,0.220889927,0.397613476,0.462365954
28.5,2,0.58,50,28.5,24.95832753,0.506000422,0.793014997,0.494799956,0.139728358,0.837867541,0.246310701,0.30415666,0.27502852,0.703472958,0.234181185,0.137899949,0.68165988,0.005641929,0.392798573,0.75836871,0.319407027,0.678708506,0.734932921
