Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance_N10,User_2_Acceptance_N10,User_4_Acceptance_N10,User_5_Acceptance_N10,User_6_Acceptance_N10,User_7_Acceptance_N10,User_9_Acceptance_N10,User_10_Acceptance_N10,User_12_Acceptance_N10,User_13_Acceptance_N10,User_14_Acceptance_N10,User_16_Acceptance_N10,User_17_Acceptance_N10,User_18_Acceptance_N10,User_19_Acceptance_N10,User_20_Acceptance_N10,User_21_Acceptance_N10,User_22_Acceptance_N10,User_23_Acceptance_N10,User_24_Acceptance_N10,User_25_Acceptance_N10,User_26_Acceptance_N10
23.5,0,0.07,50,23.5,21.97591213,0.21340698,0.08903537,0.2738289,0.3482972,0.30210707,0.26115575,0.42013994,0.19668293,0.26774764,0.19706538,0.17392366,0.21670255,0.20961644,0.3081253,0.20715319,0.29886308,0.415209,0.21782538,0.30784115,0.2253819,0.38746873,0.42247626
23.5,1,0.29,50,23.5,21.29224299,0.993881,0.04392006,0.9886009,0.99841523,0.9967311,0.995489,0.99908674,0.9977234,0.9979583,0.99777406,0.99874634,0.9972927,0.99367535,0.997216,0.9964898,0.9976694,0.9991127,0.99899316,0.9989872,0.9979607,0.9965219,0.9987043
23.5,2,0.58,50,23.5,19.81868426,0.60288733,0.069165945,0.2134425,0.5386644,0.42219839,0.41067073,0.18285799,0.49490356,0.004997872,0.533905,0.0056346,0.60470694,0.42150098,0.20378123,0.56709987,0.4678239,0.07137925,0.39335102,0.10583371,0.43046746,0.00027488024,0.030109791
23.5,3,0.94,50,23.5,18.81368418,0.27049002,0.017418753,0.005433691,0.33097684,0.23702648,0.04622954,0.026409063,0.2610288,0.005609031,0.27987355,0.005563075,0.3030715,0.032059766,0.02342452,0.3166467,0.31758228,0.022860529,0.13026856,0.029680483,0.3057741,8.065777e-05,0.00939634
23.5,4,1.37,50,23.5,18.05962121,0.077648975,0.013469732,0.03631577,0.05830883,0.079367235,0.055183906,0.039679967,0.07438218,0.010890009,0.086222865,0.009493171,0.083366975,0.05433119,0.052315757,0.068202935,0.07608745,0.050264154,0.09760697,0.048047464,0.078926146,0.0002719142,0.03319808
23.5,5,1.87,50,23.5,17.46464671,0.09119994,0.061552938,0.056376275,0.080233395,0.10251457,0.079017565,0.05639984,0.09104447,0.013266763,0.08289842,0.011572513,0.07969858,0.07518188,0.07383633,0.08877889,0.0920472,0.06375463,0.12163965,0.06311618,0.10125904,0.0004026595,0.0414185
24.0,0,0.07,50,24.0,22.4844195,0.25761315,0.1202573,0.40978765,0.40334594,0.34201032,0.36937833,0.3323305,0.21770336,0.2654309,0.21131878,0.15905146,0.23875912,0.34660769,0.38213864,0.24511406,0.32499585,0.45840853,0.07965041,0.13364923,0.2747389,0.52208644,0.4171034
24.0,1,0.29,50,24.0,21.81924277,0.9915061,0.01804438,0.974879,0.9961954,0.99397326,0.989982,0.9980008,0.99623764,0.99806607,0.9965941,0.9770408,0.9957106,0.9889,0.9934861,0.9946878,0.9959788,0.99725,0.9797444,0.9976055,0.9964258,0.97242063,0.9964555
24.0,2,0.58,50,24.0,20.37657244,0.65068454,0.1690184,0.36067232,0.6841235,0.6229007,0.55033,0.3925852,0.67857033,0.012497082,0.709374,0.01901534,0.696374,0.5991715,0.5156972,0.6872108,0.68633306,0.19072807,0.41782442,0.27565405,0.6542841,0.0014576183,0.090876706
24.0,3,0.94,50,24.0,19.39805314,0.31624672,0.026666181,0.005970426,0.36332804,0.30351877,0.079818025,0.03169683,0.3109636,0.003211343,0.45135596,0.0036261606,0.41199782,0.056174096,0.025367564,0.3406191,0.35448903,0.017169006,0.12815124,0.029625542,0.3366748,5.3206837e-05,0.0066944803
24.0,4,1.37,50,24.0,18.66690566,0.074669085,0.010031444,0.029187707,0.04490388,0.060499743,0.04505749,0.031922754,0.061211195,0.009287834,0.08165241,0.00823242,0.0874247,0.04259094,0.043285284,0.056431267,0.060763936,0.04233617,0.104664445,0.03928697,0.06247677,0.00015221046,0.028041698
24.0,5,1.87,50,24.0,18.09189818,0.081349805,0.049784,0.049150247,0.06723077,0.08792201,0.06980408,0.05058035,0.07593856,0.011770065,0.06744443,0.010375684,0.07236761,0.06570461,0.065581836,0.07423454,0.07629149,0.05596569,0.12695082,0.05645053,0.08702117,0.00023441282,0.03713213
24.5,0,0.07,50,24.5,22.9939457,0.35107967,0.1304717,0.62806696,0.41318062,0.43527105,0.52201176,0.093197145,0.28056026,0.36342654,0.2640028,0.33484682,0.32710505,0.5764869,0.3364167,0.33519772,0.41211772,0.28088912,0.075325586,0.08278395,0.41328102,0.5012959,0.18376932
24.5,1,0.29,50,24.5,22.33087837,0.8999948,0.0057078903,0.47541934,0.9463204,0.9620784,0.81331146,0.8743255,0.9836481,0.9587191,0.98694944,0.78638315,0.9768629,0.93016785,0.911259,0.9668216,0.97580624,0.7353428,0.15545624,0.52335423,0.99168116,0.58401567,0.6443243
24.5,2,0.58,50,24.5,20.92809918,0.6084663,0.1497571,0.4248882,0.72910523,0.6920515,0.5941373,0.5267082,0.730955,0.033119455,0.7490909,0.036993377,0.6927827,0.65513617,0.56161505,0.7131496,0.7574423,0.29825395,0.36585674,0.45282862,0.727469,0.0045051686,0.21028219
24.5,3,0.94,50,24.5,19.97450335,0.39511538,0.031460524,0.008065889,0.3562331,0.31976047,0.11851252,0.04763181,0.39874655,0.0019435069,0.684782,0.0025051613,0.60743636,0.08913845,0.03294558,0.38636538,0.42522806,0.015497542,0.12532969,0.03483422,0.36097383,3.9162904e-05,0.0056684166
24.5,4,1.37,50,24.5,19.26493094,0.084713645,0.008696531,0.023549825,0.039130967,0.048594825,0.037150912,0.025217453,0.054426987,0.007733427,0.08967076,0.007109335,0.10281719,0.033951234,0.03571219,0.05241496,0.05328641,0.036084175,0.114593595,0.032085627,0.051105224,9.885101e-05,0.02379722
24.5,5,1.87,50,24.5,18.70872402,0.07832256,0.03849154,0.042167984,0.05672668,0.07405013,0.060683914,0.045315024,0.0631818,0.010339497,0.05867143,0.00925829,0.07110879,0.057159383,0.05896614,0.06184965,0.06313495,0.04922818,0.1320434,0.05116256,0.07348228,0.0001500984,0.033320956
25.0,0,0.07,50,25.0,23.50502761,0.50269777,0.1589617,0.8097767,0.34252587,0.38512513,0.5645858,0.077910654,0.3800502,0.38857067,0.36299214,0.23370275,0.45323184,0.834339,0.18637116,0.45569265,0.4422654,0.15054995,0.117548145,0.14098951,0.61862093,0.4505564,0.2253845
25.0,1,0.29,50,25.0,22.82771733,0.05512554,0.00417129,0.017122168,0.28489408,0.34233975,0.06651804,0.1481683,0.36002183,0.3758149,0.5188332,0.5952979,0.18721004,0.05218603,0.17188168,0.12231107,0.60772073,0.13006756,0.18762425,0.14818457,0.6770906,0.05872505,0.16856013
25.0,2,0.58,50,25.0,21.472584,0.5212261,0.08879402,0.46023172,0.7271102,0.6964544,0.6044615,0.5495581,0.7061456,0.06588938,0.71086854,0.04203559,0.6229634,0.6565071,0.60368896,0.6663239,0.7570549,0.2924077,0.3104356,0.51091725,0.72107697,0.0075750477,0.24252371
25.0,3,0.94,50,25.0,20.54250534,0.5736775,0.02988294,0.011763554,0.33233565,0.3050785,0.14257695,0.06539535,0.55925155,0.0013153569,0.8546915,0.0018029177,0.7770619,0.113781124,0.046252985,0.4611494,0.51107687,0.013772516,0.12376578,0.04057853,0.40197465,3.2214597e-05,0.0056458446
25.0,4,1.37,50,25.0,19.85306467,0.104926094,0.008038745,0.0180155,0.037653554,0.043731347,0.030755172,0.020616157,0.05491396,0.0063291253,0.10433713,0.0060617784,0.1254363,0.027535506,0.029340822,0.056167703,0.054133147,0.029606251,0.12677567,0.02540246,0.04580345,6.944398e-05,0.019897455
25.0,5,1.87,50,25.0,19.31450558,0.08074595,0.029543603,0.036448084,0.047657456,0.06284887,0.051963348,0.03984908,0.053488422,0.008958549,0.055356372,0.008294344,0.07392505,0.04911197,0.052569628,0.055599336,0.054480013,0.04313577,0.13625987,0.04584478,0.06213725,0.0001044533,0.029828142
25.5,0,0.07,50,25.5,24.01821575,0.57764566,0.19748966,0.72594285,0.34714556,0.31139803,0.45351976,0.1351854,0.42677063,0.69959474,0.4090301,0.24552913,0.49066982,0.80733484,0.12563565,0.47739023,0.36027247,0.16944627,0.27064633,0.23429601,0.635909,0.6396471,0.24152847
25.5,1,0.29,50,25.5,23.32694447,0.014212922,0.0040270234,0.009184915,0.06731809,0.0494629,0.016095554,0.19495004,0.03456185,0.17778222,0.043297395,0.25853783,0.02397657,0.014076586,0.10147391,0.018806728,0.07776966,0.42751873,0.5717518,0.22544384,0.040834583,0.038430788,0.3606008
25.5,2,0.58,50,25.5,22.00896573,0.46722445,0.0640309,0.49766722,0.7434993,0.71099716,0.6002887,0.4259018,0.64768076,0.08981666,0.6511845,0.04006914,0.56256014,0.60762846,0.65606296,0.6360624,0.76141405,0.25243178,0.28463304,0.35139567,0.66039133,0.009715961,0.18105029
25.5,3,0.94,50,25.5,21.10145941,0.70318323,0.027175773,0.016465934,0.3034849,0.28502312,0.15315855,0.06527863,0.7284641,0.0010173499,0.9192993,0.0014252525,0.8555606,0.12441897,0.050723545,0.57237464,0.631778,0.012866465,0.12323694,0.04207825,0.4459771,2.9228553e-05,0.0061870357
