Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance_N8,User_2_Acceptance_N8,User_4_Acceptance_N8,User_5_Acceptance_N8,User_6_Acceptance_N8,User_7_Acceptance_N8,User_9_Acceptance_N8,User_10_Acceptance_N8,User_12_Acceptance_N8,User_13_Acceptance_N8,User_14_Acceptance_N8,User_16_Acceptance_N8,User_17_Acceptance_N8,User_18_Acceptance_N8,User_19_Acceptance_N8,User_20_Acceptance_N8,User_21_Acceptance_N8,User_22_Acceptance_N8,User_23_Acceptance_N8,User_24_Acceptance_N8,User_25_Acceptance_N8,User_26_Acceptance_N8
22.0,0,0.07,50,22.0,20.4107032,0.078219354,0.05370823,0.060137838,0.09600711,0.07632714,0.07298519,0.109267734,0.06954715,0.043971483,0.094653614,0.053807423,0.097094625,0.063114166,0.07459925,0.05880637,0.09156171,0.064915515,0.16746715,0.14176172,0.06932157,0.09407546,0.07421375
22.0,1,0.29,50,22.0,19.689093,0.6292273,0.5870506,0.43895295,0.22624017,0.45621073,0.4366684,0.44202366,0.3693352,0.80394155,0.39890042,0.77075654,0.39426273,0.54064447,0.73064363,0.6119484,0.31533197,0.50072014,0.32652906,0.13093047,0.58220696,0.24221861,0.35073936
22.0,2,0.58,50,22.0,18.11130066,0.04989836,0.0017043499,0.0124986125,0.030924363,0.03097679,0.01908052,0.0095490925,0.015121833,0.001318246,0.04626754,0.0047949273,0.059356764,0.01082407,0.012696896,0.002772773,0.033456538,0.007041136,0.035675157,0.13848007,0.012999696,0.022388084,0.020817058
22.0,3,0.94,50,22.0,17.01714963,0.20207928,0.0059898677,0.06271974,0.1021784,0.17036457,0.080029406,0.02473192,0.055404965,0.0054574143,0.23646896,0.019902118,0.20510414,0.0433764,0.033989146,0.035705186,0.1463598,0.048401542,0.1190974,0.0887404,0.06283701,0.08302377,0.10563218
22.0,4,1.37,50,22.0,16.18569635,0.12103853,0.025191803,0.107578374,0.13863029,0.1468974,0.14593454,0.06307651,0.11306769,0.005930158,0.19243284,0.022273658,0.20394394,0.09014777,0.07735473,0.043962352,0.15220097,0.082241565,0.118622944,0.10231383,0.118919246,0.096875004,0.10928586
22.0,5,1.87,50,22.0,15.52256301,0.12294949,0.039741147,0.12074195,0.1298153,0.1388997,0.14819367,0.06533608,0.121185705,0.0068986546,0.14616247,0.027367419,0.14924014,0.10343067,0.08470187,0.05459089,0.14436701,0.09915739,0.120493494,0.05721459,0.12315077,0.1046808,0.11366064
22.5,0,0.07,50,22.5,20.934819,0.07927312,0.07232541,0.07775603,0.1750581,0.08183161,0.08000372,0.28078094,0.09143544,0.15872215,0.08712881,0.11751276,0.08446083,0.0834503,0.2538194,0.10678773,0.13149025,0.13443518,0.3846631,0.20039155,0.06482874,0.21521252,0.16533178
22.5,1,0.29,50,22.5,20.22671468,0.944945,0.8198869,0.96565235,0.85969394,0.80759954,0.9161639,0.961001,0.89816517,0.9110696,0.6712709,0.9747062,0.6041128,0.94148505,0.9927002,0.97153693,0.83364505,0.95814186,0.9235484,0.26630476,0.8512838,0.8551292,0.80890095
22.5,2,0.58,50,22.5,18.68567427,0.20664905,0.004294247,0.016880509,0.07471233,0.11189041,0.06662088,0.016092528,0.022723561,0.0006657506,0.08333622,0.0033322982,0.07546683,0.014979203,0.04364941,0.0034150404,0.10280796,0.013509373,0.042329412,0.06685188,0.057918947,0.021826409,0.01664256
22.5,3,0.94,50,22.5,17.62296289,0.20763697,0.0058206352,0.04020331,0.11883828,0.22978775,0.08026296,0.021906404,0.04595695,0.0042058593,0.23676471,0.015954262,0.18015541,0.028824724,0.03427445,0.026677474,0.22304633,0.03148306,0.086769775,0.08411414,0.094864756,0.054240894,0.06984257
22.5,4,1.37,50,22.5,16.81878355,0.09690003,0.019288272,0.091615774,0.11121943,0.11105641,0.11884384,0.052119695,0.09463263,0.005346866,0.1393436,0.020397585,0.14015542,0.07572631,0.061562605,0.04050697,0.11911347,0.07247242,0.098727055,0.084570505,0.09453912,0.08274143,0.09640251
22.5,5,1.87,50,22.5,16.1795392,0.102486104,0.03533205,0.109872095,0.111906245,0.119296715,0.12881756,0.059602156,0.11022752,0.0063771405,0.12234938,0.02569602,0.12205386,0.094581895,0.07592777,0.051071145,0.12435122,0.091911264,0.10605658,0.052914713,0.10599639,0.09593748,0.10547805
23.0,0,0.07,50,23.0,21.45670594,0.1209077,0.1357228,0.15580824,0.35504457,0.20011204,0.15650086,0.3832826,0.23196185,0.27126473,0.11965634,0.26794648,0.11999941,0.13700774,0.33021793,0.20733847,0.30484775,0.27150074,0.39038748,0.33074912,0.10477554,0.38020292,0.31093752
23.0,1,0.29,50,23.0,20.76121947,0.9906392,0.9417406,0.9961608,0.9960683,0.99433047,0.99706167,0.9985713,0.9967798,0.9968794,0.98591715,0.9978395,0.9736639,0.99092025,0.9987139,0.99164337,0.99603885,0.9978061,0.99808335,0.840582,0.98009694,0.9969764,0.9867421
23.0,2,0.58,50,23.0,19.2549547,0.4972594,0.028533304,0.078021236,0.22212924,0.28881592,0.22897647,0.100520775,0.118436225,0.00053168874,0.21597649,0.00575529,0.19264838,0.085795,0.39049372,0.008775873,0.27267903,0.032941185,0.127694,0.065849245,0.20169513,0.052683413,0.045526564
23.0,3,0.94,50,23.0,18.22183405,0.2405563,0.0074844346,0.032205462,0.19920367,0.28076047,0.1259856,0.02245303,0.04668369,0.0030661295,0.23459439,0.012205058,0.22663878,0.024887849,0.039688893,0.019714547,0.3140827,0.02402336,0.07452884,0.12156232,0.1371539,0.04225008,0.047987733
23.0,4,1.37,50,23.0,17.44352089,0.08529834,0.013894301,0.076147705,0.08569668,0.085331745,0.092323534,0.04109757,0.07565179,0.0047163046,0.10780053,0.018485013,0.11910191,0.061705172,0.046999518,0.036915313,0.09096752,0.06302214,0.08185141,0.06919516,0.07203155,0.06886199,0.082645796
23.0,5,1.87,50,23.0,16.82709176,0.08545094,0.0309889,0.09821214,0.09843102,0.10236517,0.11098997,0.053757012,0.098693974,0.00580928,0.100849524,0.023881111,0.095992506,0.08512606,0.06711784,0.047205415,0.1072939,0.084031396,0.09330662,0.048395492,0.090377465,0.08650089,0.09655024
23.5,0,0.07,50,23.5,21.97591213,0.21254908,0.21311986,0.23895435,0.40087456,0.23848915,0.20680627,0.34797016,0.27985814,0.3033055,0.20394789,0.4261154,0.20576777,0.2559657,0.39388964,0.40475178,0.3520215,0.30372655,0.2619895,0.36826104,0.18214089,0.4413506,0.31208503
23.5,1,0.29,50,23.5,21.29224299,0.9932354,0.9616816,0.9956892,0.99875987,0.99726295,0.9973729,0.9988175,0.9978897,0.9987367,0.9976539,0.997618,0.99665827,0.9918329,0.99833626,0.98964906,0.99854237,0.99801064,0.998981,0.9917593,0.9884556,0.99914604,0.9927851
23.5,2,0.58,50,23.5,19.81868426,0.6211231,0.047060806,0.29155767,0.44651347,0.55889475,0.44026408,0.46916115,0.2995983,0.0008306166,0.51075876,0.01778537,0.5266256,0.2919733,0.6507392,0.027287103,0.50832075,0.14426145,0.30263922,0.14541747,0.37427828,0.19194205,0.19229172
23.5,3,0.94,50,23.5,18.81368418,0.29588127,0.010968595,0.029959666,0.29907203,0.30341536,0.22345649,0.02726231,0.05638782,0.0020945976,0.28226042,0.008796686,0.51271015,0.024548229,0.05714705,0.014778948,0.37243164,0.020758815,0.07532692,0.17465004,0.18305022,0.038457293,0.039680008
23.5,4,1.37,50,23.5,18.05962121,0.088163644,0.009723222,0.062488083,0.06463518,0.06669317,0.070836544,0.031366702,0.059500873,0.0040448303,0.09065718,0.016479656,0.12991266,0.04975029,0.0367189,0.033207413,0.068447985,0.054037064,0.06939789,0.05666655,0.05253404,0.05675206,0.06923112
23.5,5,1.87,50,23.5,17.46464671,0.07825893,0.027000178,0.086285606,0.084920414,0.085224256,0.09710672,0.048078828,0.0871513,0.005199141,0.081165306,0.021933747,0.07597743,0.07548654,0.060202982,0.043017507,0.090550624,0.07574527,0.0818737,0.043544553,0.078814715,0.076758586,0.08712121
24.0,0,0.07,50,24.0,22.4844195,0.26269418,0.30757982,0.35217035,0.44299698,0.2708814,0.26720905,0.19954783,0.31182322,0.32260725,0.20812717,0.65333915,0.20332646,0.38347593,0.3437799,0.5767683,0.40213773,0.37446022,0.099062726,0.33785695,0.2506456,0.40916148,0.3380538
24.0,1,0.29,50,24.0,21.81924277,0.98929,0.8028827,0.9910416,0.9978007,0.99500006,0.99545485,0.99534744,0.9958424,0.99531895,0.99709237,0.9850806,0.9972978,0.9854925,0.9883823,0.9710438,0.9969462,0.99472195,0.9906907,0.9955475,0.9841107,0.9985309,0.9820106
24.0,2,0.58,50,24.0,20.37657244,0.59122396,0.0561306,0.4587094,0.6273977,0.7108086,0.60838777,0.59708136,0.5006659,0.0023001235,0.7103166,0.049451284,0.7411758,0.4474547,0.6708551,0.047995515,0.6755181,0.46375424,0.4743152,0.35875097,0.48719776,0.36702365,0.3951494
24.0,3,0.94,50,24.0,19.39805314,0.4633902,0.016043095,0.034280676,0.35344273,0.34236678,0.29773706,0.04119366,0.10235767,0.0014208381,0.51211596,0.006149069,0.84443223,0.03175659,0.09207686,0.010833155,0.3907554,0.019587675,0.08748072,0.19096394,0.19761707,0.039645575,0.03799399
24.0,4,1.37,50,24.0,18.66690566,0.105185114,0.0074607143,0.052248366,0.04843631,0.055032425,0.054211356,0.024470719,0.047805738,0.0033488043,0.09270568,0.014368748,0.17148465,0.041109633,0.029373765,0.029430294,0.05364964,0.04621719,0.057009637,0.04402987,0.041653395,0.047709826,0.057578433
24.0,5,1.87,50,24.0,18.09189818,0.07758955,0.023820229,0.075157665,0.07151002,0.07100905,0.08359401,0.0435124,0.077558294,0.004558848,0.06580322,0.019877665,0.06481107,0.06613896,0.05351152,0.03867074,0.07510465,0.067458145,0.07055413,0.038353074,0.06881982,0.06793044,0.07763329
24.5,0,0.07,50,24.5,22.9939457,0.3795348,0.4435648,0.51421535,0.44394088,0.34296963,0.342301,0.091234885,0.343806,0.37927386,0.2673962,0.8173966,0.24077398,0.60726076,0.14399965,0.8212741,0.42512268,0.4181601,0.07914951,0.20702499,0.37860116,0.23235954,0.3697801
24.5,1,0.29,50,24.5,22.33087837,0.8861134,0.03937949,0.86518556,0.9619155,0.9690908,0.9677641,0.7055105,0.9602534,0.5455232,0.99194694,0.8122696,0.99281764,0.7981771,0.5541456,0.643315,0.9734104,0.8650119,0.24054468,0.9562946,0.66433835,0.91738594,0.88620156
24.5,2,0.58,50,24.5,20.92809918,0.49272528,0.071285926,0.5248758,0.71074045,0.7500278,0.67418134,0.62447244,0.5824574,0.0060860724,0.75631505,0.07890352,0.7727233,0.51831275,0.6910012,0.08071774,0.7377288,0.5748126,0.52386194,0.65129465,0.46476707,0.50483274,0.5441014
24.5,3,0.94,50,24.5,19.97450335,0.6665943,0.02351347,0.049817435,0.35640687,0.41129687,0.31878376,0.06677885,0.16235054,0.0010169791,0.7757376,0.0044771233,0.9278496,0.052563254,0.1260522,0.008327023,0.4135002,0.021955838,0.09655043,0.19179106,0.19063406,0.04985957,0.04489852
24.5,4,1.37,50,24.5,19.26493094,0.1291975,0.006492949,0.043168157,0.04037391,0.050794993,0.043072287,0.019692147,0.038701646,0.0026353283,0.1053543,0.01219265,0.2087652,0.03377016,0.024042027,0.025772858,0.047772735,0.039782774,0.04523263,0.031332362,0.035927683,0.038959384,0.048805363
24.5,5,1.87,50,24.5,18.70872402,0.08141548,0.02060084,0.066569164,0.0589658,0.05890357,0.0704127,0.039060317,0.06901206,0.0038914275,0.057535913,0.01776182,0.06090356,0.058994427,0.04647986,0.034338806,0.06233371,0.06023081,0.05973013,0.03278109,0.059286606,0.060390774,0.068953864
25.0,0,0.07,50,25.0,23.50502761,0.5756884,0.5408826,0.62205607,0.3272922,0.37818614,0.39203003,0.09578526,0.31046787,0.3778348,0.3750355,0.8084076,0.35834932,0.8156795,0.08999758,0.88029665,0.3758286,0.31597543,0.12466942,0.28398073,0.580675,0.11224919,0.29033583
25.0,1,0.29,50,25.0,22.82771733,0.053000934,0.014318337,0.092130534,0.44400117,0.21792856,0.15647328,0.11930848,0.21004708,0.2617907,0.77325493,0.20326817,0.87026304,0.032475352,0.19640133,0.04039595,0.43006217,0.14589125,0.13676777,0.4273919,0.026293287,0.1957093,0.22744519
25.0,2,0.58,50,25.0,21.472584,0.42775306,0.08830846,0.557251,0.7163941,0.74816066,0.6762645,0.6844408,0.6040515,0.010966981,0.7193865,0.09103545,0.7311481,0.54955596,0.7907897,0.13815144,0.7267336,0.5821557,0.39710566,0.764346,0.40781626,0.5100826,0.5748986
25.0,3,0.94,50,25.0,20.54250534,0.81926805,0.031161051,0.06549595,0.33957425,0.5286237,0.3069798,0.093463,0.20104626,0.0007694199,0.8998648,0.0033677856,0.9477443,0.078910016,0.13353297,0.0068940376,0.45656818,0.021755919,0.09436014,0.2155705,0.19483484,0.05319127,0.058985766
25.0,4,1.37,50,25.0,19.85306467,0.15988556,0.0059626224,0.035371546,0.037361126,0.055680435,0.038254026,0.01630992,0.031805612,0.0020169646,0.1221917,0.010100126,0.24171977,0.028223665,0.020124178,0.022366183,0.049234115,0.03322385,0.03713839,0.024270607,0.032930188,0.031043539,0.04064665
25.0,5,1.87,50,25.0,19.31450558,0.08933166,0.01758085,0.0581023,0.049153473,0.052569214,0.059358448,0.034394193,0.06023604,0.0031975172,0.054363593,0.015571766,0.061233055,0.052079573,0.03950267,0.030134711,0.05432257,0.05399436,0.049727082,0.027277086,0.051394723,0.05257974,0.061773065
25.5,0,0.07,50,25.5,24.01821575,0.66150635,0.4997357,0.49579445,0.2972953,0.36555594,0.43647996,0.19149014,0.32507035,0.3971289,0.46458685,0.62062293,0.4518365,0.7788795,0.12338318,0.7853489,0.37808695,0.2792473,0.28012794,0.30153388,0.72680134,0.12775898,0.272476
25.5,1,0.29,50,25.5,23.32694447,0.015595005,0.011137488,0.019472245,0.09572781,0.03867165,0.026000641,0.46937895,0.054624,0.60548586,0.0639144,0.07944097,0.108105436,0.012863015,0.58132255,0.016962372,0.06380829,0.11152931,0.5908361,0.20404056,0.011780553,0.18680638,0.044641413
25.5,2,0.58,50,25.5,22.00896573,0.39792213,0.09267538,0.5524482,0.6720115,0.7430878,0.63735694,0.7607289,0.5822308,0.012496813,0.6490157,0.0987902,0.67288303,0.54780287,0.8196486,0.1586594,0.71957576,0.5193813,0.30322456,0.7820559,0.33560815,0.36059633,0.4383818
25.5,3,0.94,50,25.5,21.10145941,0.87793076,0.038102716,0.06824258,0.31370378,0.6580108,0.28937048,0.0964803,0.19886479,0.00064703776,0.92919713,0.0027167392,0.95561653,0.095845215,0.123125136,0.0061358237,0.5006944,0.021990435,0.090338275,0.32207587,0.21654244,0.05314404,0.062982224
25.5,4,1.37,50,25.5,20.43102963,0.19676465,0.005542764,0.029029977,0.037508104,0.06835241,0.036718726,0.013756496,0.026601207,0.001514456,0.14113347,0.008235646,0.26635522,0.023579832,0.017716737,0.019479068,0.057551857,0.027938765,0.033166792,0.02114532,0.029547302,0.025080191,0.03289001
25.5,5,1.87,50,25.5,19.90867457,0.10188792,0.014420934,0.049809027,0.042394154,0.050000567,0.049756557,0.029497886,0.051305227,0.002570149,0.054008413,0.01338393,0.06532498,0.045196142,0.03407323,0.026721748,0.050845362,0.047733076,0.042077087,0.022360243,0.04478805,0.044602655,0.054425247
26.0,0,0.07,50,26.0,24.53324108,0.6450687,0.6754976,0.6410778,0.31697243,0.5428902,0.6467128,0.3586064,0.53800064,0.547728,0.64535844,0.6743058,0.5610051,0.742476,0.17402095,0.78260696,0.5530682,0.4401407,0.459712,0.33259535,0.67874515,0.22644748,0.35743874
